Data :: 
[[1.98415470e+02 1.09833935e+01]
 [1.98470640e+02 1.49039288e+01]
 [1.98525810e+02 5.82516603e+00]
 [1.98580970e+02 5.74711323e+00]
 [1.98636130e+02 9.66975023e+00]
 [1.98691280e+02 6.59308497e+00]
 [1.98746430e+02 3.51709751e+00]
 [1.98801580e+02 5.44178202e+00]
 [1.98856720e+02 9.36714617e+00]
 [1.98911860e+02 8.29317044e+00]
 [1.98967000e+02 1.22198491e+01]
 [1.99022130e+02 7.14718945e+00]
 [1.99077250e+02 7.07518550e+00]
 [1.99132380e+02 1.10038054e+01]
 [1.99187490e+02 6.93308212e+00]
 [1.99242610e+02 6.86297137e+00]
 [1.99297720e+02 3.79349295e+00]
 [1.99352830e+02 3.72462847e+00]
 [1.99407930e+02 5.65638469e+00]
 [1.99463030e+02 3.58874348e+00]
 [1.99518120e+02 1.52171143e+00]
 [1.99573210e+02 7.45527069e+00]
 [1.99628300e+02 5.38941577e+00]
 [1.99683380e+02 6.32415299e+00]
 [1.99738460e+02 4.25946489e+00]
 [1.99793540e+02 1.31953461e+01]
 [1.99848610e+02 1.51318026e+01]
 [1.99903670e+02 1.10688287e+01]
 [1.99958740e+02 1.00063963e+01]
 [2.00013790e+02 1.69445338e+01]
 [2.00068850e+02 7.88320216e+00]
 [2.00123900e+02 9.82241824e+00]
 [2.00178950e+02 1.27621656e+01]
 [2.00233990e+02 1.17024499e+01]
 [2.00289030e+02 1.36432548e+01]
 [2.00344060e+02 9.58458572e+00]
 [2.00399100e+02 1.45264162e+01]
 [2.00454120e+02 1.04687727e+01]
 [2.00509150e+02 8.41161850e+00]
 [2.00564160e+02 1.03549794e+01]
 [2.00619180e+02 1.12988195e+01]
 [2.00674190e+02 1.12431539e+01]
 [2.00729200e+02 1.21879675e+01]
 [2.00784200e+02 1.51332650e+01]
 [2.00839200e+02 7.07903155e+00]
 [2.00894200e+02 6.02526201e+00]
 [2.00949190e+02 8.97196112e+00]
 [2.01004170e+02 9.91912371e+00]
 [2.01059160e+02 9.86672563e+00]
 [2.01114140e+02 1.08147811e+01]
 [2.01169110e+02 6.76328491e+00]
 [2.01224080e+02 6.71222283e+00]
 [2.01279050e+02 8.66159001e+00]
 [2.01334010e+02 8.61139073e+00]
 [2.01388970e+02 7.56161099e+00]
 [2.01443930e+02 8.51224601e+00]
 [2.01498880e+02 1.04632999e+01]
 [2.01553820e+02 1.14147679e+01]
 [2.01608770e+02 9.36662740e+00]
 [2.01663710e+02 4.31889143e+00]
 [2.01718640e+02 9.27155507e+00]
 [2.01773570e+02 1.02246050e+01]
 [2.01828500e+02 1.11780366e+01]
 [2.01883420e+02 1.31318537e+01]
 [2.01938340e+02 1.00860432e+01]
 [2.01993260e+02 1.20406006e+01]
 [2.02048170e+02 8.99552952e+00]
 [2.02103070e+02 6.95082532e+00]
 [2.02157980e+02 1.09064672e+01]
 [2.02212880e+02 3.86246696e+00]
 [2.02267770e+02 8.81881991e+00]
 [2.02322660e+02 1.37755136e+01]
 [2.02377550e+02 9.73254373e+00]
 [2.02432430e+02 8.68991361e+00]
 [2.02487310e+02 1.06476111e+01]
 [2.02542180e+02 1.26056394e+01]
 [2.02597060e+02 1.05639791e+01]
 [2.02651920e+02 8.52264849e+00]
 [2.02706780e+02 1.04816281e+01]
 [2.02761640e+02 8.44091376e+00]
 [2.02816500e+02 8.40050122e+00]
 [2.02871350e+02 8.36039361e+00]
 [2.02926200e+02 1.03205794e+01]
 [2.02981040e+02 8.28106153e+00]
 [2.03035880e+02 1.02418287e+01]
 [2.03090710e+02 1.02028839e+01]
 [2.03145540e+02 1.01642159e+01]
 [2.03200370e+02 9.12582052e+00]
 [2.03255190e+02 1.00877008e+01]
 [2.03310010e+02 1.30498456e+01]
 [2.03364820e+02 8.01225791e+00]
 [2.03419630e+02 1.09749267e+01]
 [2.03474440e+02 1.09378482e+01]
 [2.03529240e+02 9.90102498e+00]
 [2.03584040e+02 7.86444650e+00]
 [2.03638830e+02 9.82811546e+00]
 [2.03693620e+02 1.07920213e+01]
 [2.03748410e+02 7.75616024e+00]
 [2.03803190e+02 7.72053490e+00]
 [2.03857970e+02 8.68513494e+00]
 [2.03912740e+02 1.26499630e+01]
 [2.03967510e+02 1.06150089e+01]
 [2.04022280e+02 1.25802688e+01]
 [2.04077040e+02 1.25457455e+01]
 [2.04131800e+02 9.51142873e+00]
 [2.04186550e+02 5.47732117e+00]
 [2.04241300e+02 1.44434129e+01]
 [2.04296050e+02 7.40970024e+00]
 [2.04350790e+02 6.37618577e+00]
 [2.04405530e+02 1.03428597e+01]
 [2.04460260e+02 9.30972461e+00]
 [2.04514990e+02 4.27677077e+00]
 [2.04569720e+02 1.02439947e+01]
 [2.04624440e+02 1.22113989e+01]
 [2.04679150e+02 1.31789798e+01]
 [2.04733870e+02 6.14672207e+00]
 [2.04788580e+02 9.11463412e+00]
 [2.04843280e+02 1.30827125e+01]
 [2.04897980e+02 1.00509478e+01]
 [2.04952680e+02 1.20193369e+01]
 [2.05007370e+02 1.09878820e+01]
 [2.05062060e+02 9.95657417e+00]
 [2.05116750e+02 1.39254100e+01]
 [2.05171430e+02 8.89439193e+00]
 [2.05226100e+02 1.38635166e+01]
 [2.05280780e+02 1.18327696e+01]
 [2.05335440e+02 9.80216443e+00]
 [2.05390110e+02 1.47716811e+01]
 [2.05444770e+02 1.57413277e+01]
 [2.05499430e+02 1.17110954e+01]
 [2.05554080e+02 1.36809867e+01]
 [2.05608730e+02 1.66509928e+01]
 [2.05663370e+02 1.56211162e+01]
 [2.05718010e+02 1.75913484e+01]
 [2.05772650e+02 9.56168620e+00]
 [2.05827280e+02 1.35321321e+01]
 [2.05881910e+02 9.50267768e+00]
 [2.05936530e+02 1.34733253e+01]
 [2.05991150e+02 1.54440666e+01]
 [2.06045770e+02 1.24148988e+01]
 [2.06100380e+02 1.13858241e+01]
 [2.06154980e+02 9.35683972e+00]
 [2.06209590e+02 7.32793213e+00]
 [2.06264190e+02 8.29910909e+00]
 [2.06318780e+02 1.02703677e+01]
 [2.06373370e+02 1.12417000e+01]
 [2.06427960e+02 5.21310309e+00]
 [2.06482540e+02 2.18457949e+00]
 [2.06537120e+02 1.21561212e+01]
 [2.06591700e+02 1.11277255e+01]
 [2.06646270e+02 7.09939499e+00]
 [2.06700830e+02 1.00711268e+01]
 [2.06755400e+02 1.90429081e+01]
 [2.06809950e+02 1.30147516e+01]
 [2.06864510e+02 9.98663934e+00]
 [2.06919060e+02 1.49585789e+01]
 [2.06973610e+02 1.19305627e+01]
 [2.07028150e+02 5.90259324e+00]
 [2.07082690e+02 6.87466287e+00]
 [2.07137220e+02 1.28467742e+01]
 [2.07191750e+02 3.81891966e+00]
 [2.07246280e+02 4.79109676e+00]
 [2.07300800e+02 5.76330818e+00]
 [2.07355310e+02 1.17355515e+01]
 [2.07409830e+02 8.70781408e+00]
 [2.07464340e+02 8.68010379e+00]
 [2.07518840e+02 7.65241825e+00]
 [2.07573340e+02 7.62475003e+00]
 [2.07627840e+02 5.59709684e+00]
 [2.07682330e+02 6.56946145e+00]
 [2.07736820e+02 1.35418365e+01]
 [2.07791310e+02 7.51421982e+00]
 [2.07845790e+02 1.14866142e+01]
 [2.07900260e+02 1.44590174e+01]
 [2.07954740e+02 1.24314171e+01]
 [2.08009200e+02 1.24038264e+01]
 [2.08063670e+02 1.23762279e+01]
 [2.08118130e+02 1.63486297e+01]
 [2.08172580e+02 8.32102966e+00]
 [2.08227040e+02 7.29341552e+00]
 [2.08281480e+02 1.02658005e+01]
 [2.08335930e+02 1.32381673e+01]
 [2.08390370e+02 1.02105240e+01]
 [2.08444800e+02 8.18286880e+00]
 [2.08499230e+02 1.21551945e+01]
 [2.08553660e+02 1.01274992e+01]
 [2.08608080e+02 8.09978599e+00]
