Peaks :: 
[[232.03751     36.08410713]
 [232.40515     36.33902674]
 [232.72009     68.52668088]
 [233.1922     142.22729566]
 [233.45433     42.49046914]
 [233.71634    100.89515758]
 [234.29237    253.65818299]
 [234.76326    177.82724396]
 [235.02471     50.86424235]
 [235.12926     42.11070327]
 [235.39054     59.30359854]
 [235.91278    147.00257371]
 [236.43456    117.09062061]
 [236.85165     56.01889566]
 [237.00799     52.29735655]
 [237.32053     97.94025758]
 [238.15318    415.83773858]
 [238.82885    153.80808105]
 [239.50373    330.15640677]
 [239.86681    175.40468941]
 [240.4369     269.39470711]
 [240.59228    194.15241115]
 [241.00643    243.56910076]
 [241.26512    123.24754545]
 [241.78216     35.69296366]
 [242.35036     97.20185422]
 [242.918       78.81457097]
 [243.22739     91.6400732 ]
 [243.43355     91.53625289]
 [243.89714    103.33459109]
 [244.46323    113.13804294]
 [245.38834     35.90163603]
 [245.85033     83.81010377]
 [246.10682    124.76432818]
 [246.41445     86.71292588]
 [246.56821     88.68835521]
 [246.77315     37.65650564]
 [246.87559     52.6409019 ]
 [246.97801     67.62547497]
 [247.23398     86.58751956]
 [247.38751     50.56505886]
 [247.95007     90.48375037]
 [248.30777    208.43236195]
 [249.02246    233.33040355]
 [249.27748    261.29473881]
 [249.8381     118.21973402]
 [250.09274     71.18817879]
 [250.29636     91.16458566]
 [250.60166     44.13270137]
 [251.11009    119.09201452]
 [251.56727     66.07347805]
 [251.66882     65.07226442]
 [251.87185     80.07350404]
 [252.22696    167.08892853]
 [252.53115    227.11767816]
 [252.68319    188.13815734]
 [252.88583    212.17243939]
 [253.34149    174.28227272]
 [253.64505    194.38406647]
 [253.84732    266.46622802]
 [254.04952    149.56082918]
 [254.45367     89.79090509]
 [254.55467    111.85762402]
 [254.90798    190.12276396]
 [255.96649     44.26105179]
 [256.26853    219.69649427]
 [256.62068     66.27584192]
 [257.0731      45.14390916]
 [257.4247      51.92355991]
 [257.62551     42.41321629]
 [257.77607     48.80259203]
 [258.22747     56.09085403]
 [258.52818    206.05598769]
 [259.12907     77.26430287]
 [259.27918     94.87813844]
 [259.87917    525.60092761]
 [260.67806    253.95798924]
 [261.12688    291.81169582]
 [261.32622    201.18019148]
 [261.72467    121.11210101]
 [261.97354     53.08198991]
 [262.1228      81.31659638]
 [262.52061    197.80936608]
 [262.81876    157.62780745]
 [263.06708    361.11226949]
 [263.56334     36.46857826]
 [263.71212     39.18008852]
 [263.95998     37.14388417]
 [264.0591      49.36931283]
 [264.40583     61.84199325]
 [264.60385     66.52969534]
 [264.75231     52.61012544]
 [264.95019     46.47216949]
 [265.14799     45.43701093]
 [265.29629     45.72954644]
 [265.59275     35.22500462]
 [266.43173     84.66193791]
 [266.62892     79.83721686]
 [268.4491      42.07936919]
 [269.23405     48.71163246]
 [271.38588     60.81845435]
 [271.87354     91.75677897]
 [272.01974     56.48502885]
 [272.70138     91.48548684]
 [273.33343     40.92692494]
 [273.6734      88.7619451 ]
 [273.91608    278.69874927]
 [274.30409    167.68758025]
 [274.64333    309.76390846]
 [274.88549    340.86500145]
 [275.27267    122.103032  ]
 [275.51449    289.29704066]
 [276.72163     74.7320666 ]
 [277.92548     59.81298585]
 [278.31002     46.58841593]
 [278.79022     47.61979387]
 [278.88619     37.8335931 ]
 [279.50952    481.27740791]
 [280.22763    361.0419736 ]
 [280.65793     51.14077709]
 [281.2787      35.7677351 ]
 [282.85046     36.01543939]
 [283.18312     43.92314426]
 [285.17351    151.27447629]
 [293.64138     40.50706631]
 [294.15019     35.21884687]
 [294.28884     37.40857765]
 [294.70448     43.96784114]
 [294.79679     46.09029162]
 [295.58047     36.10970174]
 [298.33347     37.67042517]
 [301.99041     54.29787049]
 [306.58848     45.49475336]
 [307.21209     53.88767082]
 [307.47169     61.26429688]
 [307.78302     63.57333907]
 [308.76756     80.98981325]
 [316.16291     63.54039421]
 [316.7739      54.97909609]
 [319.05784     71.17228168]
 [319.96822     46.42256965]
 [320.17027     47.83673975]
 [321.63248     53.08889544]
 [322.23614     58.89713173]
 [322.48743     45.48062669]
 [322.83899     82.98595459]
 [323.39088    184.43800468]
 [323.54128    160.34127979]
 [323.84193    131.22058053]
 [324.14237     94.20184903]
 [324.79262     75.53942123]
 [325.19231     82.02520274]
 [325.29217     78.18184882]
 [326.09027     89.97639215]
 [327.08587     44.69812862]
 [327.78144     56.38954104]
 [327.93035     37.30556679]
 [328.67413     76.58671495]
 [332.22657     77.97251124]
 [332.91392     58.19336544]
 [333.45321     35.48599515]
 [334.13859    133.70224605]
 [334.33421     35.73117616]
 [334.8717     275.31525741]
 [335.40851     42.54145169]
 [336.04204    180.64974409]
 [337.20913    169.76643323]
 [337.74296     35.36288577]
 [337.98538     52.54733545]
 [338.32454    135.18137812]
 [338.56662     51.31612633]
 [338.71181     67.9787613 ]
 [339.38866     48.81311615]
 [344.00019     57.39811399]
 [344.42986     35.37458881]
 [349.03178     35.52453494]
 [350.44433     63.65214466]
 [351.05486     51.71054672]
 [356.50685     46.12256283]
 [356.96925     86.13728572]
 [358.07674     88.15404643]
 [358.53724     37.15288787]
 [360.8313      46.07085074]
 [361.83624     57.99357338]
 [363.11131     46.85928556]
 [363.52022     48.80783532]
 [364.24605     58.70683817]
 [364.74422     39.63060067]
 [365.2869      51.54143075]
 [368.48124    115.90715449]
 [371.95789     55.09784615]
 [373.46267     80.7547894 ]
 [373.63927     50.71622978]
 [374.0804      49.62207625]
 [374.30075     35.57633683]
 [374.52096     58.53158152]
 [374.78503     42.4792738 ]
 [374.91699     71.45372855]
 [375.26863     48.38773887]
 [375.88314    120.2804746 ]
 [376.05851    104.25193828]
 [376.49655     35.18510374]
 [376.67161     38.16027859]
 [382.01087     54.17072678]
 [382.14004     39.19561194]
 [382.57023     43.28927887]
 [382.74215     51.33149055]
 [383.38605     36.51504901]
 [384.02869     42.74059867]
 [393.27876     60.15501774]
 [395.59668     42.83940836]
 [395.73689     44.76300244]
 [396.78745     51.20171434]
 [398.11564     38.51982137]
 [398.88331     39.13946196]
 [399.78934     49.70320479]
 [404.5072      59.64161073]
 [406.30161     48.9444194 ]
 [407.12804     46.63844581]
 [414.37984     40.32916819]
 [422.68632     61.40154785]
 [427.16227     64.62744415]
 [428.69089     43.40027965]
 [428.88997     52.37201307]
 [429.02266     49.3533389 ]
 [429.55311     36.2800019 ]
 [430.08307    137.20881328]
 [430.54638    106.14825892]
 [430.74483     90.12279645]
 [431.47189     49.03191376]
 [432.52779     89.90653865]
 [438.30054    130.35120463]
 [439.47411     47.26355328]
 [440.45022    106.19676873]
 [441.48952     42.13163425]
 [442.65643     54.06568954]
 [444.33766     38.98372303]
 [444.91844     55.95891378]
 [445.04742     57.95364515]
 [445.30528     75.9433732 ]
 [445.4986      67.93589994]
 [445.69186     65.92862341]
 [446.59282     36.8972493 ]
 [448.06976     44.85478409]
 [451.26683     47.80011825]
 [451.77662     66.79602559]
 [452.28594     63.79319097]
 [452.73119     53.79173633]
 [453.55713    303.79155636]
 [454.44518     61.79499939]
 [454.88866    111.79812498]
 [455.2052      86.80092765]
 [455.52156     64.80420408]
 [456.34322     39.81493123]
 [457.22668     57.83003443]
 [461.74713     78.96532583]
 [462.30948     51.98899332]
 [462.9336      36.01705219]
 [463.93066     92.06581255]
 [465.60889     50.15893274]
 [466.72471     52.22862738]
 [468.147       53.32663825]
 [475.86944     73.04864776]
 [484.07403     43.21190799]
 [485.56753     46.47397072]
 [486.99701     46.74075224]
 [488.4816      53.03499669]
 [489.96165     48.3464658 ]
 [491.31929     39.64872246]
 [492.1438      43.84027567]
 [495.77818     47.76052677]
 [498.16632    143.43693703]
 [499.09499    130.71632583]
 [499.96395    102.98636423]
 [500.71574     99.22686566]
 [501.40862    103.45428792]
 [501.58168     69.51196688]
 [501.98523     54.64784115]
 [502.27327     58.74601025]
 [502.50357     53.82521759]
 [503.59592     86.20971472]
 [503.82556     65.29242146]
 [503.99772     56.35485937]
 [506.45819     41.28880041]
 [519.14319     35.60828753]
 [520.876       41.53342056]
 [522.34763     35.41738947]
 [526.8645      50.81263335]
 [532.72134     43.63691103]
 [537.02284     37.62667114]
 [551.14923     67.52109483]
 [551.3299     106.49017552]
 [564.32314     52.30225539]
 [566.13109     39.32214891]
 [586.55173     35.86006518]
 [588.9195     136.61175289]
 [589.52275     89.81154089]
 [626.06566     76.76518277]
 [643.93997     35.7508372 ]
 [655.58157     43.61979535]
 [670.78369     36.70692954]
 [766.71846     68.48558664]
 [770.1257      57.66641152]]
