Line_type,Wavelength,Ionisation_State
S,284.716,2
S,299.41700000000003,2
S,304.33000000000004,2
S,306.93600000000004,2
S,311.283,2
S,315.309,2
S,315.441,2
S,316.481,2
S,323.059,2
S,326.091,2
S,338.353,2
S,341.384,2
S,341.777,2
S,348.116,2
S,348.95300000000003,2
S,355.49899999999997,2
S,356.559,2
S,375.66700000000003,2
S,379.982,2
S,386.312,2
P,388.556,1
S,403.463,1
S,406.15999999999997,2
S,406.31,1
S,408.844,2
S,416.84,2
P,417.99799999999993,1
P,418.312,1
P,419.43999999999994,1
S,420.96899999999994,2
S,435.913,2
S,438.453,1
S,438.64099999999996,2
P,439.671,1
P,446.27299999999997,1
S,450.71999999999997,2
S,460.54499999999996,2
P,461.39300000000003,1
S,470.578,1
P,471.658,1
S,472.01599999999996,2
S,481.22200000000004,2
P,525.824,1
S,556.926,1
S,573.205,2
S,575.897,2
P,591.085,2
S,616.475,2
S,616.783,2
S,624.283,2
P,635.986,1
S,669.1270000000001,1
P,729.04,1
S,786.61,1
