Line_type,Wavelength,Ionisation_State
S,206.1162,1
S,206.9844,1
P,211.3825,2
S,224.34485,2
P,224.64119999999997,2
P,224.87489999999997,2
P,227.99812000000003,2
S,231.70342,2
P,232.02451000000002,2
P,232.4667,2
P,233.13665,2
P,241.31883,2
P,243.77831999999998,2
S,247.71278999999998,2
S,271.18732,2
S,272.177,1
S,282.43899999999996,1
S,293.40209,2
P,328.068,1
P,338.2887,1
S,381.09409999999997,1
S,384.075,1
S,398.158,1
S,405.5476,1
S,421.096,1
S,421.2814,1
S,462.00361000000004,2
S,466.8477,1
S,478.83968000000004,2
S,487.41,1
S,502.73433000000006,2
P,520.9078000000001,1
P,546.5497,1
S,547.1555000000001,1
S,566.734,1
P,768.7772,1
P,827.3509,1
S,1681.95,1
