Line_type,Wavelength,Ionisation_State
S,209.4264,2
P,226.9096,1
P,236.70520000000002,1
P,237.31239999999997,1
S,256.7984,1
P,257.5094,1
P,281.6185,2
S,305.0073,1
S,305.7144,1
P,308.21529999999996,1
P,309.271,1
P,309.2839,1
S,358.6557,2
S,390.0675,2
P,394.4006,1
P,396.152,1
P,466.30559999999997,2
S,466.68,2
S,559.3302,2
S,600.641,2
S,607.3198,2
S,618.342,2
S,620.1463000000001,2
P,624.336,2
S,633.5701,2
S,669.6015,1
S,783.6134,1
S,877.2866,1
S,877.3896000000001,1
S,1125.3188999999998,1
S,1125.4926,1
S,1312.3378,1
S,1315.0708,1
S,1675.0429,1
