Line_type,Wavelength,Ionisation_State
S,275.65500000000003,2
S,281.29200000000003,2
S,281.5282,2
S,283.2258,2
S,288.8505,2
S,289.95619999999997,2
S,291.113,2
S,292.0593,2
S,292.7534,2
S,293.6992,2
S,295.0393,2
S,296.6712,2
S,296.9292,2
S,298.7238,2
S,299.3508,2
S,300.425,2
S,302.799,2
S,303.8363,2
S,305.3688,2
S,312.04859999999996,2
S,316.1826,2
S,328.232,2
S,328.66659999999996,2
S,334.3867,1
S,336.2546,2
S,339.50100000000003,1
S,341.9662,2
S,344.61859999999996,1
S,345.2098,2
S,348.3308,2
P,351.0127,1
S,353.09479999999996,1
S,356.268,2
P,356.9163,1
S,360.341,1
P,367.3121,1
S,369.642,2
S,377.7504,2
S,392.6248,2
S,395.25759999999997,2
S,402.0252,1
S,403.5808,1
S,403.63649999999996,2
S,408.92909999999995,2
S,414.0959,1
S,418.8121,2
S,426.555,1
P,428.9258,1
S,430.9652,2
S,432.457,2
S,444.1357,2
S,450.945,2
S,457.559,2
S,459.3307,2
S,464.91190000000006,1
S,465.3448,1
S,466.279,1
S,468.1651,1
S,469.96999999999997,2
S,470.68019999999996,1
S,487.22200000000004,2
S,499.0786,1
S,500.021,1
S,502.096,2
S,521.5989999999999,2
S,540.262,1
S,542.47,1
S,558.421,2
S,559.813,1
S,605.464,1
S,640.511,1
S,654.4159999999999,1
S,695.558,1
