Line_type,Wavelength,Ionisation_State
S,242.0456,2
S,251.67889999999997,2
S,253.47089999999997,2
S,256.2087,2
S,289.1612,2
S,294.2893,2
S,297.90500000000003,2
S,303.3508,2
S,309.3402,2
S,324.36890000000005,2
S,329.364,2
S,330.7228,2
S,335.09240000000005,2
S,337.6436,2
S,338.8531,2
S,347.67470000000003,2
S,347.8232,2
S,349.12440000000004,2
S,349.1536,2
S,350.9778,2
S,351.4388,2
S,354.55959999999993,2
S,354.5845,2
S,355.95079999999996,2
S,356.103,2
S,357.6616,2
S,358.1608,2
S,358.2355,2
S,358.84409999999997,2
S,362.2138,2
S,363.9833,2
S,371.82059999999996,2
S,372.9309,2
S,373.7889,2
S,376.527,2
S,376.6119,2
S,377.0369,1
S,377.052,2
S,378.084,2
S,380.3172,2
S,380.94559999999996,2
S,385.05809999999997,2
S,386.8528,2
S,392.5719,2
S,392.8623,2
S,393.2547,2
S,394.60970000000003,2
S,394.89790000000005,1
S,397.93559999999997,2
S,399.4792,2
S,401.3857,2
S,403.3809,2
S,403.546,2
S,404.2894,2
S,404.44179999999994,1
S,405.2921,2
S,407.20050000000003,2
S,407.23850000000004,2
S,407.66279999999995,2
S,407.9574,2
S,408.2387,2
S,410.3912,2
S,413.17240000000004,2
S,415.6085999999999,2
S,415.85900000000004,1
S,416.418,1
S,417.9297,2
S,418.1884,1
S,419.07129999999995,1
S,419.10290000000003,1
S,419.8317,1
S,420.0674,1
S,421.8665,2
S,422.2637,2
S,422.6988,2
S,422.81579999999997,2
S,423.72200000000004,2
S,425.11850000000004,1
S,425.9362,1
S,426.6286,1
S,426.6527,2
S,427.2169,1
P,427.75280000000004,2
S,428.2898,2
S,430.01009999999997,1
S,430.06499999999994,2
S,430.92390000000006,2
S,433.12,2
S,433.203,2
S,433.35609999999997,1
S,433.5338,1
S,434.5168,1
P,434.80640000000005,2
S,435.2205,2
S,436.2066,2
S,436.7832,2
S,437.07529999999997,2
S,437.13290000000006,2
S,437.59540000000004,2
S,437.96670000000006,2
S,438.5057,2
S,440.00969999999995,2
S,440.0986,2
S,442.6001,2
S,443.01890000000003,2
S,443.0996,2
S,443.38379999999995,2
S,443.94609999999994,2
S,444.8879,2
S,447.4759,2
S,448.18109999999996,2
S,451.0733,1
S,452.2323,1
S,453.05519999999996,2
S,454.50519999999995,2
S,456.4405,2
S,457.93500000000006,2
S,458.9898,2
P,460.9567,2
S,463.7233,2
S,465.7901,2
S,472.15909999999997,2
P,472.68679999999995,2
S,473.20529999999997,2
S,473.5906,2
P,476.4865,2
P,480.60200000000003,2
S,484.78100000000006,2
S,486.591,2
P,487.98640000000006,2
S,488.90420000000006,2
S,490.47520000000003,2
S,493.3209,2
S,496.508,2
S,500.9334,2
S,501.71629999999993,2
S,506.2037,2
S,509.04949999999997,2
S,514.1782999999999,2
S,514.5308,2
S,516.5773,2
S,518.7746,1
S,521.6814,2
S,549.5874,1
S,555.8702,1
S,560.6733,1
S,565.0704000000001,1
S,588.8584,1
S,591.2085,1
S,603.2126999999999,1
S,604.3223,1
S,605.9372,1
S,611.4923000000001,2
S,617.2278,2
S,624.312,2
S,638.4716999999999,1
S,641.6306999999999,1
S,648.3081999999999,2
S,663.8221,2
S,663.9739999999999,2
S,664.3698,2
S,666.6359,2
S,667.7281999999999,1
S,668.4293,2
S,675.2834,1
S,686.1269,2
S,687.1289,1
S,693.7664000000001,1
P,696.5431,1
S,703.0251000000001,1
P,706.7218,1
S,706.8736,1
S,710.7478,1
S,712.582,1
S,714.7041999999999,1
S,720.698,1
S,727.2936,1
S,731.1715999999999,1
S,731.6005,1
S,735.3293000000001,1
S,737.2118,1
S,738.0426,2
S,738.3979999999999,1
S,739.298,1
S,743.5368000000001,1
P,750.3869000000001,1
S,751.4651999999999,1
P,763.5106,1
S,772.3761,1
S,772.4206999999999,1
P,794.8176,1
P,800.6157,1
P,801.4786,1
P,810.3693000000001,1
P,811.5310999999999,1
S,826.4522,1
S,839.2270000000001,1
S,840.8209999999999,1
S,842.4648000000001,1
S,852.1442,1
S,866.7944,1
S,877.186,2
S,884.991,1
S,907.5394,1
P,912.2966999999999,1
S,919.4638000000001,1
S,922.4499,1
S,929.1530999999999,1
S,935.4219999999999,1
P,965.7786,1
S,978.4503000000001,1
S,1005.2059999999999,1
S,1033.272,1
S,1046.7177,2
S,1047.0054,1
S,1050.65,1
S,1067.3565,1
S,1068.3034,2
S,1073.3870000000002,1
S,1075.916,1
S,1081.2896,2
S,1110.646,1
S,1148.8109,1
S,1166.8709999999999,1
S,1211.2326,1
S,1213.9738000000002,1
S,1234.3393,1
S,1240.2827,1
S,1243.9321000000002,1
S,1245.612,1
S,1248.7663,1
S,1270.2281,1
S,1273.3418,1
S,1280.2739,1
S,1293.3195,1
S,1295.6659,1
S,1300.8264,1
S,1321.399,1
S,1322.8107,1
S,1323.09,1
S,1327.264,1
S,1331.321,1
S,1336.7111,1
S,1349.941,1
S,1350.4191,1
S,1359.9333000000001,1
S,1362.2658999999999,1
S,1367.855,1
S,1371.8577,1
S,1409.364,1
S,1504.65,1
S,1517.269,1
S,1598.949,1
S,1651.986,1
S,1694.0580000000002,1
S,2061.623,1
S,2098.611,1
S,2313.32,1
S,2396.652,1
