Line_type,Wavelength,Ionisation_State
S,200.0792,2
P,201.2,1
P,202.138,1
S,204.4587,2
P,208.20770000000002,2
P,211.0685,2
S,222.8915,2
S,224.8562,2
P,226.3627,2
S,230.46840000000003,2
S,235.26500000000001,1
S,238.775,1
P,242.795,1
S,253.3518,2
S,255.26579999999998,2
S,261.6393,2
S,264.148,1
P,267.59540000000004,1
P,274.8253,1
S,278.0822,1
P,280.2036,2
S,281.9793,2
P,282.2546,2
S,282.5437,2
S,283.7848,2
S,284.692,2
S,288.3446,1
S,289.1961,1
P,289.3247,2
S,290.7042,2
S,291.3517,2
P,291.8235,2
S,295.42220000000003,2
S,299.0268,2
P,299.48,2
P,302.92040000000003,1
S,306.5424,1
P,312.27840000000003,1
S,319.472,1
S,323.0632,1
S,330.8305,1
S,330.9638,1
S,355.7365,1
S,358.67310000000003,1
S,361.15680000000003,1
S,363.1311,1
S,363.7905,1
S,364.5016,1
S,365.0739,1
S,370.9622,1
S,379.6007,1
S,389.7865,1
S,390.93829999999997,1
S,404.0931,1
S,406.5068,1
S,431.51099999999997,1
S,443.7269,1
S,448.82529999999997,1
S,460.7512,1
S,479.25829999999996,1
S,523.0259,1
S,583.7374,1
S,595.6965,1
P,627.817,1
S,656.268,1
S,751.0728,1
