Line_type,Wavelength,Ionisation_State
P,230.42470000000003,2
P,233.52670000000003,2
P,307.15840000000003,1
P,350.1108,1
P,389.1779,2
P,413.0649,2
S,413.24269999999996,1
S,416.6001,2
S,428.30969999999996,1
S,452.4925999999999,2
P,455.40329999999994,2
S,489.99269999999996,2
P,493.40770000000003,2
P,553.5481,1
S,577.7619000000001,1
S,585.3675000000001,2
S,599.7086999999999,1
S,611.0783,1
P,614.1713000000001,2
P,649.6898,2
P,649.876,1
P,652.7312,1
P,659.5325,1
S,667.527,1
P,669.3842,1
S,686.5686,1
P,705.9943000000001,1
S,712.0331,1
S,719.5229999999999,1
P,728.0296,1
S,739.2405,1
S,748.8075,1
P,767.2085,1
S,778.0478,1
S,790.5746999999999,1
S,791.1329000000001,1
S,821.0238999999999,1
P,855.9997999999999,1
S,891.5013000000001,1
S,937.0119000000001,1
S,960.8894,1
S,1003.2139000000001,1
P,1499.9851999999998,1
P,2325.356,1
P,2551.4880000000003,1
