Line_type,Wavelength,Ionisation_State
S,205.6012,1
S,217.49859999999998,1
S,217.5103,1
P,234.86100000000002,1
S,235.0703,1
S,235.08289999999997,1
P,249.4728,1
P,265.04540000000003,1
P,265.055,1
P,265.06129999999996,1
P,265.06190000000004,1
P,265.06940000000003,1
P,265.076,1
P,313.04219,2
P,313.10667,2
P,332.134,1
S,381.34540000000004,1
P,436.06629999999996,2
P,436.09880000000004,2
P,457.2664000000001,1
P,467.33290000000005,2
P,467.34229999999997,2
S,482.81590000000006,2
S,527.028,2
P,527.081,2
S,654.789,2
S,655.836,2
S,698.2749,1
S,720.9134,1
P,825.4069999999999,1
S,880.1370000000001,1
S,1011.992,2
S,1209.536,2
S,1464.392,1
S,1464.475,1
S,1615.772,1
S,1814.354,1
S,3177.87,1
