Line_type,Wavelength,Ionisation_State
P,202.11489999999998,1
P,206.1634,1
S,206.8937,2
P,211.0217,1
S,213.35999999999999,1
P,218.69299999999998,2
S,221.4031,2
P,222.8203,1
P,223.06020000000004,1
P,236.8384,2
S,262.79040000000003,1
S,278.0476,1
P,289.79650000000004,1
P,293.8297,1
P,298.9019,1
P,299.3336,1
P,302.46209999999996,1
S,306.77,1
S,339.71979999999996,1
S,343.0605,2
S,351.0864,1
S,359.60970000000003,1
P,379.25640000000004,2
S,386.40250000000003,2
S,407.9072,2
S,425.94129999999996,2
S,430.16970000000003,2
S,470.5285,2
S,472.2527,1
S,473.0267,2
S,512.4356,2
S,514.4492,2
S,520.9325,2
S,527.0512,2
S,571.9138,2
S,660.0339,2
S,680.9196,2
S,853.2,2
S,965.7040000000001,1
S,1171.083,1
