Line_type,Wavelength,Ionisation_State
S,274.80190000000005,2
S,282.7567,2
S,287.2114,2
S,287.85720000000003,2
S,288.4772,2
S,288.9803,2
S,289.366,2
S,291.0645,2
S,292.6489,2
S,292.7907,2
S,294.1713,2
S,295.1761,2
S,296.9125,2
S,298.7755,2
S,317.84659999999997,2
S,324.7262,2
S,325.21909999999997,1
S,326.3473,2
S,328.875,1
P,328.9347,1
S,333.5261,1
S,338.7446,2
S,340.8281,1
S,341.2131,2
P,342.69509999999997,1
P,344.26640000000003,1
S,345.3897,1
S,346.12440000000004,2
S,346.4133,2
S,347.2016,2
S,347.762,2
S,352.87209999999993,1
S,353.1397,1
S,353.57309999999995,1
S,354.2187,2
S,355.35959999999994,1
S,355.6515,1
S,356.72540000000004,2
S,359.03200000000004,1
S,359.588,1
S,360.1115,1
S,360.32009999999997,2
S,360.4781,1
P,360.9614,1
S,361.662,1
S,362.1805,2
S,362.7607,1
S,363.7054,1
S,364.0255,1
S,364.0928,2
S,367.5585,1
S,368.12209999999993,2
S,368.4427,1
S,368.6737,1
S,369.53679999999997,1
S,370.32790000000006,1
S,370.4015,1
S,371.11350000000004,2
S,371.29290000000003,1
S,372.5385,1
S,373.99159999999995,1
S,374.3047,1
S,374.5403,1
S,375.0075,1
S,375.19050000000004,1
S,375.78509999999994,1
S,377.106,2
S,378.8205,1
S,379.1419,1
S,379.62059999999997,1
S,379.8629,1
S,380.23449999999997,1
S,380.24699999999996,1
S,382.3098,2
S,382.4083,2
S,382.519,1
S,382.5844,2
S,383.1565,2
S,383.348,1
S,383.5967,2
S,384.2185,1
S,384.66179999999997,1
S,384.76259999999996,1
S,385.50300000000004,1
S,385.98879999999997,2
S,387.7937,2
S,388.01059999999995,1
S,388.26020000000005,1
S,389.4547,2
S,390.6094,2
S,391.63649999999996,2
S,392.1415,1
S,392.8045,2
S,414.7134,2
S,418.9692,2
S,419.7441,2
S,432.95799999999997,1
S,435.1504,1
P,436.36359999999996,1
S,442.30109999999996,1
P,446.64570000000003,1
S,476.53999999999996,1
S,511.82399999999996,1
S,513.553,2
S,517.0609999999999,1
S,519.755,1
P,521.2529999999999,1
P,527.1949999999999,1
S,539.203,1
S,539.424,1
S,544.963,1
S,546.7470000000001,1
S,548.458,1
S,551.222,2
S,553.793,1
S,555.6800000000001,1
S,555.7090000000001,1
S,558.121,1
S,565.654,1
P,565.903,1
S,570.2239999999999,1
P,591.071,1
S,704.085,1
S,710.7850000000001,1
S,725.25,1
S,730.694,1
S,739.426,1
S,790.39,1
S,942.9129999999999,1
S,986.2389999999999,2
S,1012.6200000000001,1
S,1029.2440000000001,1
S,1057.053,1
S,1129.3139999999999,1
S,1150.03,1
S,1157.534,1
S,1179.309,1
S,1215.905,1
S,1349.836,1
S,1419.693,1
