Line_type,Wavelength,Ionisation_State
S,238.67,2
S,231.73000000000002,2
S,238.89600000000002,2
S,238.969,2
S,252.17,2
S,297.226,2
S,391.438,2
S,398.038,2
S,422.389,2
S,436.563,2
S,444.174,1
S,447.26099999999997,1
S,447.77200000000005,1
S,452.559,1
S,454.28900000000004,2
S,467.87,2
P,470.492,2
P,478.54799999999994,2
P,481.668,2
S,493.062,2
S,518.236,2
S,523.826,2
S,533.207,2
S,550.672,2
S,614.86,1
S,635.073,1
S,654.457,1
S,655.98,1
S,658.217,1
S,663.162,1
S,668.228,1
S,669.213,1
S,700.519,1
P,734.851,1
P,751.296,1
P,780.302,1
S,793.868,1
S,797.857,1
S,798.9939999999999,1
S,813.152,1
S,815.375,1
S,815.4,1
S,826.4959999999999,1
S,827.244,1
S,833.47,1
P,834.3700000000001,1
P,844.655,1
S,863.866,1
S,879.347,1
S,881.9959999999999,1
S,882.5219999999999,1
S,889.7620000000001,1
S,916.606,1
S,917.3629999999999,1
S,917.816,1
S,926.542,1
S,932.086,1
S,989.64,1
S,1045.7959999999998,1
