Line_type,Wavelength,Ionisation_State
S,219.77870000000001,2
S,220.8611,2
S,227.5462,1
P,272.1645,1
P,315.8869,2
P,317.93320000000006,2
S,318.1275,2
P,370.6026,2
P,373.6901,2
P,393.36614,2
P,396.84673,2
P,422.67269999999996,1
S,430.2527,1
S,430.7741,1
P,442.54409999999996,1
P,443.496,1
P,443.5688,1
P,445.4781,1
P,445.58869999999996,1
P,445.66049999999996,1
S,487.81320000000005,1
S,501.99709999999993,2
S,518.8848,1
S,526.5557,1
S,527.027,1
S,534.9472,1
S,558.1971,1
P,558.8756999999999,1
S,559.012,1
S,559.4468,1
S,559.8486999999999,1
S,585.7452,1
P,610.2722,1
P,612.2219,1
P,616.2171999999999,1
S,616.9055000000001,1
S,616.9559,1
P,643.9073000000001,1
S,644.981,1
S,645.6874,2
P,646.2565999999999,1
S,647.1659999999999,1
P,649.3779999999999,1
S,649.9649000000001,1
P,657.2776999999999,1
S,671.7685,1
S,714.8147,1
S,720.2194000000001,1
S,732.6146,1
S,760.1304,2
S,820.1719999999999,2
S,824.8796999999998,2
S,849.8018,2
P,854.2089,2
P,866.2139999999999,2
S,891.207,2
S,892.7360000000001,2
S,921.39,2
S,931.1998,2
S,931.9559999999999,2
S,932.0649999999999,2
S,941.6966999999999,1
S,956.7965,2
S,959.9235000000001,2
S,960.1815,2
S,985.4739999999999,2
S,989.0629999999999,2
S,993.1389999999999,2
S,1022.3040000000001,2
S,1281.604,1
S,1290.91,1
S,1303.357,1
S,1904.614,1
S,1930.92,1
S,1945.2990000000002,1
S,1950.5720000000001,1
S,1977.679,1
S,1985.31,1
S,1986.2220000000002,1
S,2262.493,1
S,2265.123,1
