Line_type,Wavelength,Ionisation_State
S,214.4408,2
S,219.45570000000004,2
P,226.5018,2
S,228.8022,1
P,231.2766,2
S,232.1074,2
P,257.293,2
P,274.85490000000004,2
S,283.69,1
S,288.0767,1
S,291.4672,2
S,292.9271,2
S,298.062,1
S,298.13620000000003,1
S,313.31669999999997,1
S,325.2524,1
S,326.1055,1
P,340.3652,1
P,346.62,1
P,346.76550000000003,1
P,361.0508,1
P,361.2873,1
S,413.4768,2
S,441.563,2
P,467.8149,1
P,479.99120000000005,1
S,508.5822,1
S,533.7479999999999,2
S,537.813,2
S,538.1890000000001,2
S,609.9141999999999,1
S,635.472,2
S,635.9979999999999,2
P,643.847,1
S,646.4939999999999,2
S,672.578,2
S,734.567,1
