Line_type,Wavelength,Ionisation_State
S,306.3008,2
S,319.4821,2
S,320.1712,2
S,321.8944,2
S,322.1171,2
S,322.7114,2
S,323.4161,2
S,327.22529999999995,2
S,348.5046,2
S,353.90759999999995,2
S,356.0798,2
S,357.745,2
S,365.3664,2
P,365.5843,2
S,366.0639,2
S,366.7976,2
S,370.9285,2
S,370.9926,2
S,371.6364,2
S,372.8414,2
S,376.4115,2
S,378.1616,2
S,378.66279999999995,2
P,380.152,2
S,380.30859999999996,2
S,380.81100000000004,2
S,383.8535,2
S,384.85949999999997,2
S,385.3148,2
S,385.4187,2
S,385.432,2
S,385.5301,2
S,387.6971,2
S,387.83579999999995,2
S,388.2447,2
S,388.99840000000006,2
S,389.5113,2
S,390.7286,2
S,391.2426,2
S,391.8269,2
S,393.1082,2
S,394.03259999999995,2
P,394.2157,2
P,394.27459999999996,2
S,394.3881,2
P,395.2545,2
S,395.6275,2
S,396.0913,2
S,396.7044,2
S,398.46709999999996,2
S,399.2381,2
S,399.3818,2
P,399.9237,2
S,400.37690000000003,2
S,400.5232,1
P,401.2387,2
S,401.48969999999997,2
S,402.44870000000003,2
S,402.84040000000005,2
S,403.13320000000004,2
P,404.0752,2
S,404.2578,2
S,404.6337,2
S,405.35,2
S,405.5836,1
S,407.17729999999995,2
S,407.34749999999997,2
S,407.5698,2
S,407.5844,2
S,408.1219,2
S,408.3219,2
S,411.81409999999994,2
S,412.3873,2
S,412.7371,2
P,413.38019999999995,2
P,413.7649,2
S,414.23969999999997,2
S,414.4996,2
S,414.9895,2
S,415.1969,2
S,416.56000000000006,2
S,416.68809999999996,2
P,418.65959999999995,2
S,419.633,2
S,419.8715,2
S,420.29259999999994,2
S,420.29560000000004,2
S,422.2598,2
S,422.77470000000005,2
S,423.99090000000007,2
S,424.86679999999996,2
S,425.57790000000006,2
S,427.0186,2
P,428.99350000000004,2
S,429.668,2
S,430.03270000000003,2
S,430.6722,2
S,433.7773,2
S,434.9788,2
S,436.465,2
S,438.2164000000001,2
S,438.6826,2
S,439.166,2
S,441.87780000000004,2
S,442.92650000000003,2
S,444.9322,2
S,445.0727,2
P,446.02040000000005,2
S,447.1237,2
S,447.93580000000003,2
S,448.3891,2
S,448.6905,2
S,450.64129999999994,1
S,452.3077,2
S,452.73490000000004,2
S,452.8472,2
S,453.9745,2
S,456.02829999999994,2
P,456.23580000000004,2
S,457.2281,2
S,459.3924,2
S,462.8157,2
P,463.23199999999997,1
S,465.0509,1
S,482.25470000000007,1
S,484.77740000000006,1
S,494.34399999999994,1
S,499.46270000000004,1
P,500.9098,1
S,504.08459999999997,1
S,507.17749999999995,1
S,511.27029999999996,1
S,512.9569,1
S,514.9993,1
P,515.9685999999999,1
P,516.1484,1
S,517.4554,1
S,518.7459,2
S,521.1877000000001,1
P,522.3461,1
S,522.9745,1
P,524.5916,1
S,527.423,2
S,529.6563,1
S,532.8081999999999,1
S,539.7638000000001,1
S,542.038,1
S,544.9239,1
S,551.2049,2
S,555.6252,1
S,556.4966,1
S,556.5965,1
S,559.5875,1
P,560.1279999999999,1
S,565.514,1
P,566.9959,1
S,567.7751999999999,1
S,569.2943,1
P,569.6993,1
P,569.9226,1
P,571.9031,1
S,577.3122,1
S,578.8143,1
S,581.2918999999999,1
S,586.2491,1
S,592.6301,1
S,592.8342,1
S,593.772,1
P,594.0857,1
S,600.1901,1
S,600.5861,1
S,600.6816999999999,1
S,601.3419,1
S,602.4193,1
S,604.3378,2
S,604.7397,1
S,605.7995,1
S,606.9484,1
S,607.2005999999999,1
S,609.3191999999999,1
S,612.3673000000001,1
S,618.6173000000001,1
S,620.8985,1
S,622.8936,1
S,627.2024,2
S,629.5574,1
S,631.0013000000001,1
S,643.0066999999999,1
S,645.8031,1
S,655.5645000000001,1
S,670.4272,1
S,692.4813,1
S,698.6015,1
S,706.175,2
S,708.635,2
S,725.271,1
S,739.7764,1
S,802.557,2
S,812.0366999999999,1
S,849.5829,1
