Line_type,Wavelength,Ionisation_State
S,273.931,2
S,275.90999999999997,2
P,277.452,2
S,285.20300000000003,2
S,285.524,2
P,329.81399999999996,1
P,335.271,1
S,336.779,2
S,339.222,1
S,348.107,1
S,351.347,2
S,353.149,1
S,354.098,1
P,359.877,1
S,360.53200000000004,1
S,361.211,1
S,361.74899999999997,1
S,362.67600000000004,2
S,365.946,1
S,366.27,1
S,369.94899999999996,2
S,372.211,2
S,373.935,1
S,378.56100000000004,1
S,378.904,2
S,389.323,2
S,399.357,2
S,403.54499999999996,1
S,409.912,1
S,424.238,1
P,432.90299999999996,1
S,433.52200000000005,1
S,517.396,1
S,517.908,1
S,521.924,1
S,527.9010000000001,1
S,532.009,1
S,533.913,1
P,540.888,1
S,572.605,1
S,662.283,1
S,663.126,1
S,667.79,1
S,689.4590000000001,1
P,692.71,2
S,707.452,1
S,730.79,1
P,814.129,1
S,824.177,2
S,833.385,2
S,842.3489999999999,2
S,856.883,2
S,922.8520000000001,1
S,933.7700000000001,1
S,964.951,1
S,1030.841,1
S,1056.883,1
S,1061.484,1
S,1130.019,1
S,1168.185,1
P,1194.133,1
S,1218.3049999999998,2
S,1235.272,1
S,1243.748,1
S,1278.741,1
S,1332.998,2
S,1336.298,1
S,1337.6889999999999,2
S,1347.444,1
S,1477.249,2
S,1528.132,1
S,1558.712,2
S,1567.592,1
P,1675.9060000000002,2
S,1762.625,1
S,1871.869,1
S,1906.8709999999999,1
S,1933.696,1
S,1957.684,1
S,2039.3380000000002,1
S,2086.998,1
