Line_type,Wavelength,Ionisation_State
S,383.3348,2
S,384.5367,2
S,384.5651,2
P,385.0991,2
P,385.1373,2
P,386.08299999999997,2
S,386.0985,2
S,413.24979999999994,2
S,437.293,2
S,476.86490000000003,2
S,478.1318,2
P,479.45500000000004,2
P,481.00600000000003,2
S,481.9471,2
P,489.677,2
P,490.4776,2
P,491.7731,2
S,499.54769999999996,2
P,507.82640000000004,2
P,521.794,2
P,522.1355,2
P,539.2119,2
P,542.323,2
S,542.3507,2
P,544.337,2
S,544.4205,2
S,545.7022,2
S,725.662,1
S,741.4114000000001,1
P,754.7072,1
S,767.2419,1
S,771.7581,1
P,774.4970000000001,1
S,776.9163000000001,1
S,782.1363,1
S,783.0746,1
S,787.8215,1
S,789.931,1
S,791.5083999999999,1
S,792.4645,1
S,793.3894,1
S,793.5011999999999,1
S,799.7854,1
S,801.5611,1
S,808.4508000000001,1
S,808.5562,1
S,808.6672,1
S,819.442,1
S,819.9128000000001,1
S,820.021,1
P,821.2038,1
S,822.0445,1
P,822.1742,1
P,833.3306999999999,1
P,837.594,1
P,842.8254000000001,1
S,846.7341,1
S,855.0438,1
P,857.524,1
P,858.597,1
S,868.626,1
S,891.2921,1
S,894.8063,1
S,903.8982,1
S,904.5433,1
S,907.3165999999999,1
S,912.1146000000001,1
S,919.1731,1
S,928.8856,1
S,945.2098,1
S,959.2221999999999,1
S,1573.01,1
S,1586.97,1
