Line_type,Wavelength,Ionisation_State
P,246.27640000000002,2
S,261.7169,2
P,263.6281,2
S,265.1171,2
S,265.3804,2
S,272.56820000000005,2
S,273.6892,2
S,274.8039,2
S,278.48259999999993,2
S,281.16179999999997,2
P,282.42040000000003,2
P,283.358,2
S,289.9904,2
P,291.29650000000004,2
P,292.8922,2
S,299.618,2
S,299.93850000000003,1
S,301.48670000000004,2
P,304.4848,2
P,310.969,1
P,311.64109999999994,1
S,313.5099,1
S,313.716,1
S,314.73249999999996,1
S,315.85990000000004,1
S,316.9983,2
S,317.7554,1
S,317.9098,1
S,318.6412,1
S,318.81090000000006,1
S,320.71209999999996,2
S,320.7708,1
S,320.98920000000004,2
S,320.99429999999995,1
S,321.005,2
S,322.0759,2
P,322.4226,1
P,322.51079999999996,1
S,322.6412,2
S,323.02779999999996,1
S,323.0349,2
S,323.6737,1
S,323.85479999999995,2
P,324.26570000000004,2
S,324.6247,1
S,325.26750000000004,1
S,326.58059999999995,1
S,328.04499999999996,1
S,329.6708,2
P,330.48490000000004,1
S,331.7143,1
S,337.4696,1
P,345.2922,1
P,345.8338,1
S,351.02790000000005,1
S,352.2355,1
S,352.4938,1
S,354.20590000000004,1
S,354.7018,1
S,354.7922,1
S,356.14369999999997,1
P,357.2949,2
S,360.06149999999997,1
S,363.99440000000004,1
S,366.434,1
S,370.94259999999997,1
S,372.90040000000005,1
S,373.2351,1
S,374.7863,1
S,376.3045,1
S,377.57509999999996,1
P,381.6304,1
S,382.5138,1
S,383.3315,1
S,383.7593,1
S,384.2,1
S,384.99240000000003,1
S,385.4106,1
S,390.02529999999996,1
P,390.4064,2
P,390.8238,2
P,393.66659999999996,1
S,394.2025,1
S,394.41459999999995,1
S,394.8683,1
S,395.3362,1
S,396.4827,1
P,399.51,1
S,401.617,1
S,403.17600000000004,1
S,404.829,1
S,404.96500000000003,1
S,411.329,1
S,412.971,1
P,420.76599999999996,2
P,421.162,1
S,426.645,1
S,429.3,1
P,433.082,1
S,434.56899999999996,1
S,444.77700000000004,1
P,445.916,1
P,460.84,1
S,584.607,1
P,595.241,1
S,605.89,1
S,624.335,1
P,637.671,1
S,655.441,1
S,664.017,1
S,668.687,1
P,670.6850000000001,1
S,672.668,1
S,679.3149999999999,1
P,716.269,1
P,772.047,1
P,839.2370000000001,1
P,1054.298,1
P,1079.225,1
S,1183.428,1
S,1246.499,1
S,1300.456,1
S,1325.818,1
S,1328.984,1
S,1348.054,1
S,1359.001,1
S,1364.477,1
S,1378.952,1
S,1390.846,1
S,1423.527,1
S,1433.452,1
S,1456.341,1
S,1458.023,1
S,1501.8129999999999,1
