Line_type,Wavelength,Ionisation_State
S,225.6745,2
S,219.3605,2
S,228.35219999999998,2
P,228.6159,2
S,229.1991,2
S,229.339,2
S,230.14029999999997,2
P,230.786,2
S,230.901,1
P,231.16039999999998,2
P,231.4056,2
S,231.4975,2
S,231.70700000000002,2
S,232.3145,1
S,232.4321,2
S,232.60999999999999,2
S,232.6473,2
P,234.73989999999998,2
P,235.3422,2
S,235.33679999999998,1
P,236.38000000000002,2
P,237.86260000000001,2
S,238.17649999999998,2
P,238.34589999999997,2
P,238.637,2
P,238.8917,2
S,239.7386,2
S,240.4172,2
P,240.7256,1
P,241.1624,1
S,241.44639999999998,1
S,241.529,1
S,241.76590000000002,2
P,242.49349999999998,1
S,243.22129999999999,1
S,243.66620000000003,1
S,243.904,1
S,244.26170000000002,2
S,244.60170000000002,2
S,244.77110000000002,2
S,245.0002,2
S,246.4199,2
S,248.64410000000004,2
S,249.88209999999998,2
S,250.6464,2
S,251.11599999999999,2
S,251.98229999999998,2
P,252.13649999999998,1
S,252.4634,2
S,252.49740000000003,2
S,252.8616,2
S,252.897,1
S,253.00799999999998,2
S,253.3801,2
S,253.5966,1
S,254.1953,2
S,254.6739,2
S,255.94050000000001,2
S,256.0031,2
S,256.40340000000003,2
S,258.0326,2
S,258.224,2
S,258.722,2
S,258.75239999999997,2
S,258.8904,2
S,266.674,2
S,270.6606,2
S,270.73429999999996,2
S,304.4005,1
S,339.5373,1
P,340.5118,1
S,340.9176,1
S,341.2337,1
S,341.26329999999996,1
S,341.7157,1
S,343.1582,1
S,343.304,1
P,344.3645,1
S,344.91700000000003,1
S,344.944,1
P,345.351,1
S,346.28049999999996,1
S,346.5793,1
P,347.3974,1
P,347.4042,1
S,348.94,1
S,349.56820000000005,1
P,350.228,1
S,350.6312,1
S,350.9841,1
S,351.264,1
S,351.3481,1
S,351.8347,1
S,352.15659999999997,1
S,352.3433,1
P,352.685,1
S,352.9033,1
P,352.9808,1
P,356.9376,1
S,357.536,1
S,358.7187,1
S,384.5469,1
S,387.3114,1
S,387.39549999999997,1
S,389.4078,1
S,399.5308,1
S,411.8774,1
S,412.1318,1
