Line_type,Wavelength,Ionisation_State
P,205.55900000000003,2
P,206.154,2
P,206.546,2
S,238.3303,1
S,240.85999999999999,1
S,249.63000000000002,1
S,250.43099999999998,1
S,251.95100000000002,1
S,254.95479999999998,1
S,256.0695,1
S,257.174,1
S,259.184,1
S,265.357,2
S,265.85900000000004,2
S,266.342,2
S,266.602,2
S,266.871,2
S,267.18,2
S,267.283,2
P,267.719,2
S,267.879,2
S,268.709,2
S,269.103,2
S,269.84000000000003,2
S,269.868,2
S,272.274,2
S,272.64959999999996,1
S,273.1895,1
S,273.6463,1
S,274.363,2
S,274.898,2
S,275.072,2
S,275.185,2
S,275.7086,1
S,275.772,2
P,276.258,2
P,276.65500000000003,2
S,276.9902,1
S,278.0695,1
S,282.238,2
S,283.046,2
P,283.563,2
P,284.32399999999996,2
P,284.983,2
P,285.567,2
S,285.89099999999996,2
S,286.092,2
P,286.257,2
P,286.51,2
S,286.67199999999997,2
S,286.765,2
S,287.043,2
S,287.597,2
S,287.62399999999997,2
S,287.79699999999997,2
S,288.6995,1
S,288.92940000000004,1
S,289.32540000000006,1
S,289.41679999999997,1
S,289.6756,1
S,290.5477,1
S,290.90490000000005,1
S,291.0892,1
S,291.11479999999995,1
S,296.764,1
S,297.1102,1
S,297.19,2
S,297.5478,1
S,297.973,2
S,298.0784,1
S,298.5849,1
S,298.601,1
S,298.6466,1
S,298.86379999999997,1
S,299.1877,1
S,299.406,1
S,299.5094,1
S,299.6571,1
S,299.87829999999997,1
S,300.088,1
S,300.506,1
S,301.37199999999996,1
S,301.4756,1
S,301.4932,1
S,301.5197,1
S,301.7591,1
S,301.8492,1
S,301.8827,1
S,302.0671,1
S,302.15759999999995,1
S,302.43590000000006,1
S,302.9165,1
S,303.025,1
S,303.1346,1
S,303.41909999999996,1
S,303.70490000000007,1
S,304.0837,1
S,305.387,1
S,311.864,2
S,312.036,2
S,312.494,2
S,313.20500000000004,2
S,318.07,2
S,319.70799999999997,2
S,320.919,2
S,325.78259999999995,1
S,333.981,2
S,335.849,2
S,336.804,2
S,340.33000000000004,2
S,340.87600000000003,2
S,342.119,2
S,342.273,2
S,343.35890000000006,1
S,343.619,1
S,344.1449,1
S,344.5604,1
S,344.7426,1
S,345.3328,1
S,345.5607,1
S,357.3636,1
S,357.4796,1
P,357.8682,1
P,359.3481,1
S,360.1655,1
P,360.53200000000004,1
S,363.2832,1
S,363.6588,1
S,363.98,1
S,364.184,1
S,364.8993,1
S,365.3916,1
S,365.62600000000003,1
S,366.32059999999996,1
S,368.682,1
S,368.725,1
S,373.0805,1
S,373.20300000000003,1
S,374.357,1
S,374.38870000000003,1
S,374.9,1
S,375.7659,1
S,376.82370000000003,1
S,379.1384,1
S,379.2142,1
S,379.3872,1
S,379.7138,1
S,379.7714,1
S,380.4801,1
S,381.54380000000003,1
S,381.957,1
S,382.6427,1
S,384.12800000000004,1
S,384.89829999999995,1
S,384.935,1
S,385.00290000000007,1
S,385.22209999999995,1
S,385.4229,1
S,385.558,1
S,385.76300000000003,1
S,388.32890000000003,1
S,388.524,1
S,388.68,1
S,389.4039,1
S,390.2911,1
S,390.87620000000004,1
S,391.625,1
S,391.9165,1
S,392.1031,1
S,392.86469999999997,1
S,394.1499,1
S,396.36940000000004,1
S,396.9748,1
S,397.66740000000004,1
S,398.39009999999996,1
S,398.43390000000005,1
S,398.99840000000006,1
S,399.1118,1
S,399.1677,1
S,399.28459999999995,1
S,400.1443,1
S,403.9098,1
S,404.8784,1
S,412.6513,1
S,416.3627,1
S,417.4808,1
S,417.927,1
P,425.4331,1
P,427.4806,1
P,428.9733,1
S,433.7566,1
S,433.945,1
S,433.974,1
S,434.451,1
S,435.1055,1
S,435.177,1
S,435.9647,1
S,437.12790000000007,1
S,438.4974,1
S,449.68500000000006,1
S,452.64579999999995,1
S,453.072,1
S,453.5714,1
S,454.05,1
S,454.0715,1
S,454.4607,1
S,454.5946,1
S,458.0045,1
S,459.1405,1
S,460.0745,1
S,461.33599999999996,1
S,461.61199999999997,1
S,462.61809999999997,1
S,464.6151,1
S,465.1285,1
S,465.21549999999996,1
S,469.846,1
S,470.802,1
S,471.843,1
S,473.733,1
S,475.60900000000004,1
S,478.93240000000003,1
S,487.079,1
S,488.7013,1
S,492.2276,1
P,520.4505,1
P,520.6021,1
P,520.8415,1
S,524.758,1
S,526.4159999999999,1
S,526.573,1
S,529.669,1
S,529.829,1
S,532.836,1
S,534.577,1
S,534.83,1
S,540.978,1
S,579.1,1
S,740.022,1
S,746.235,1
