Line_type,Wavelength,Ionisation_State
S,227.38400000000001,2
S,226.76500000000001,2
S,233.246,2
S,239.286,2
S,293.108,2
S,378.544,2
S,380.512,2
S,387.615,1
S,388.861,1
S,389.69899999999996,2
S,395.951,2
S,396.52,2
S,397.425,2
S,403.985,2
S,406.87800000000004,2
S,421.314,2
S,423.21999999999997,2
S,423.441,2
S,426.46999999999997,2
S,427.713,2
S,428.838,2
S,436.33000000000004,2
S,437.304,2
S,440.526,2
S,450.15500000000003,2
P,452.674,2
S,453.89700000000005,2
S,455.52799999999996,1
S,459.317,1
P,460.379,2
S,461.617,2
S,476.36400000000003,2
S,483.01899999999995,2
S,487.004,2
S,488.005,2
S,495.285,2
S,497.26000000000005,2
S,504.38,2
S,520.958,2
P,522.704,2
S,524.938,2
S,527.405,2
S,534.913,2
S,537.0989999999999,2
S,546.5939999999999,1
S,550.288,1
S,556.302,2
S,563.521,1
S,566.402,1
S,581.4159999999999,2
S,583.114,2
S,583.883,1
S,584.514,1
S,592.563,2
S,601.049,1
S,603.409,1
S,612.861,2
S,621.3100000000001,1
S,621.76,1
S,635.455,1
S,649.553,2
S,653.644,2
S,658.6510000000001,1
S,662.866,1
S,664.6569999999999,2
S,672.328,1
S,672.447,2
S,682.4649999999999,1
S,687.045,1
S,695.55,2
S,697.33,1
S,697.967,2
S,698.3489999999999,1
S,714.954,2
S,722.853,1
S,727.99,1
S,727.996,1
S,760.89,1
S,785.2520000000001,2
S,794.388,1
S,799.7439999999999,2
S,801.298,2
S,801.573,1
S,804.713,2
S,807.894,1
S,807.904,1
S,852.1129999999999,1
S,860.8309999999999,2
S,876.141,1
S,894.347,1
P,917.232,1
S,920.8530000000001,1
S,922.075,2
S,999.479,2
S,1002.436,1
S,1012.341,1
S,1012.36,1
S,1017.6020000000001,2
S,1037.966,2
S,1048.093,2
S,1050.451,2
S,1080.788,2
S,1260.429,2
S,1273.5520000000001,2
S,1342.431,1
S,1358.8290000000002,1
S,1360.2559999999999,1
S,1369.291,2
S,1375.8809999999999,1
S,1386.882,2
S,1469.491,1
S,1529.3799999999999,2
S,1535.661,2
S,1642.614,2
S,1653.563,1
S,1701.232,1
S,2013.8470000000002,1
S,2281.186,1
S,2303.798,1
S,2334.447,1
S,2425.121,1
S,2437.496,1
S,2522.037,2
S,2576.3509999999997,1
S,2576.473,1
S,2931.0060000000003,1
P,3010.327,1
S,3095.306,1
P,3490.013,1
S,3613.1,1
