Line_type,Wavelength,Ionisation_State
P,199.9698,2
P,203.5854,2
P,203.7127,2
P,204.3802,2
P,213.59810000000002,2
P,216.50900000000001,1
P,217.894,1
S,217.94099999999997,2
P,218.17199999999997,1
S,218.96300000000002,2
P,219.2268,2
S,219.958,1
S,221.0268,2
S,221.458,1
P,221.81079999999997,2
P,222.57,1
S,222.77800000000002,1
P,223.00799999999998,1
S,224.2618,2
P,224.42600000000002,1
P,224.7002,2
S,226.308,1
S,229.38400000000001,1
S,239.263,1
S,240.666,1
P,244.164,1
P,249.215,1
S,261.837,1
S,268.93,2
S,270.0962,2
S,270.3184,2
S,271.3508,2
S,271.8778,2
S,276.637,1
S,276.9669,2
S,287.71,2
S,296.116,1
S,303.61,1
S,306.341,1
S,310.86,1
S,319.40999999999997,1
S,324.316,1
P,324.754,1
P,327.396,1
S,329.054,1
S,330.79499999999996,1
S,333.784,1
S,353.038,1
S,368.65549999999996,2
S,406.264,1
S,465.11199999999997,1
S,490.9734,2
S,493.1698,2
S,495.3724,2
S,505.17929999999996,2
P,510.554,1
P,515.324,1
P,521.8199999999999,1
S,529.2520000000001,1
S,570.024,1
S,578.213,1
S,600.012,2
S,615.0384,2
S,615.4222,2
S,621.6939,2
S,621.9844,2
S,627.3349000000001,2
S,630.1009,2
S,637.784,2
S,642.3884,2
S,644.8559,2
S,647.0168000000001,2
S,648.1437,2
S,662.4291999999999,2
S,664.1396,2
S,740.4354000000001,2
S,765.2333000000001,2
S,766.4648,2
S,777.8738000000001,2
S,780.5184,2
S,780.7659000000001,2
S,782.5654000000001,2
S,790.2553,2
S,793.313,1
S,798.8163000000001,2
S,809.263,1
S,828.316,2
S,851.1061,2
S,986.128,2
S,986.4136999999998,2
S,1005.4938,2
