Line_type,Wavelength,Ionisation_State
S,262.3688,1
S,263.4803,2
S,303.8288,2
S,313.5384,2
S,315.65209999999996,2
S,316.2833,2
S,316.99920000000003,2
S,321.6627,2
S,325.1268,2
S,328.0091,2
S,330.88829999999996,2
S,331.6316,2
S,331.9878,2
S,334.09929999999997,2
P,338.5014,2
S,338.885,2
S,339.3567,2
S,339.6156,2
P,340.7792,2
S,341.37829999999997,2
S,341.9631,2
S,343.43670000000003,2
S,344.14459999999997,2
S,344.5572,2
S,344.6992,2
S,345.4315,2
S,345.6557,2
P,346.09659999999997,2
S,346.8429,2
S,347.7067,2
P,349.4489,2
S,349.87070000000006,2
S,350.45279999999997,2
S,350.5452,2
S,350.6812,2
S,352.39790000000005,2
P,353.1703,2
S,353.49580000000003,2
P,353.6018,2
S,353.85159999999996,2
S,354.2327,2
S,354.68320000000006,2
S,355.0217,2
S,355.1615,2
S,356.3146,2
S,357.383,2
S,357.4152,2
S,357.62420000000003,2
S,357.68649999999997,2
S,357.7983,2
S,358.5058,2
S,358.57779999999997,2
S,359.1416,2
S,359.50370000000004,2
S,360.03740000000005,2
S,360.61209999999994,2
S,362.94190000000003,2
P,363.0239,2
S,364.0249,2
P,364.53959999999995,2
S,364.87859999999995,2
S,366.4614,2
S,366.68379999999996,1
S,367.2296,2
S,367.4086,2
S,367.6586,2
S,367.85040000000004,1
S,368.485,1
S,368.5777,1
P,369.48109999999997,2
S,369.82059999999996,2
S,372.4445,2
S,372.79959999999994,1
S,373.934,1
S,374.7813,2
S,375.35040000000004,2
S,375.3747,2
S,375.70490000000007,1
P,375.73670000000004,2
S,376.7625,1
S,377.1106,1
S,377.3051,1
S,377.4714,1
S,378.1467,1
S,378.6176,2
S,378.8438,2
S,379.187,2
S,380.62690000000003,2
S,381.2272,1
S,381.6762,2
S,382.56820000000005,2
S,383.65040000000005,2
S,384.089,1
S,384.13070000000005,2
S,384.4361,1
S,384.7019,1
S,385.3026,2
S,385.8402,1
S,386.8803,1
S,386.98609999999996,2
P,387.2103,2
S,387.3986,2
P,389.8528,2
S,391.7286,1
S,392.786,1
S,393.0147,1
S,393.1526,2
S,393.67009999999993,1
P,394.4679,2
S,395.77909999999997,2
S,396.259,1
P,396.8384,2
S,397.8564,2
S,398.19259999999997,2
S,398.3651,2
S,398.421,2
S,399.66880000000003,2
P,400.0449,2
S,400.5837,1
S,401.3822,1
S,402.3715,1
P,404.597,1
S,405.0566,2
S,407.31190000000004,2
P,407.79650000000004,2
S,408.5336,1
S,409.61,1
P,410.33050000000003,2
S,410.38739999999996,1
S,411.134,2
S,412.9423,2
S,413.0352,1
S,413.38500000000005,1
S,414.31000000000006,2
S,414.60600000000005,1
P,416.79740000000004,1
S,417.19309999999996,1
S,418.37209999999993,1
P,418.6821,1
P,419.16400000000004,1
P,419.48459999999994,1
S,419.80150000000003,1
S,420.13009999999997,1
S,420.224,1
S,421.1238,1
P,421.1714,1
S,421.31800000000004,1
P,421.51590000000004,1
P,421.80920000000003,1
P,422.111,1
S,422.22120000000007,1
P,422.51540000000006,1
S,423.2024,1
S,423.9856,1
S,424.5912,1
S,430.863,2
S,432.5867999999999,1
S,444.9705,2
S,457.7775,1
P,458.93640000000005,1
S,461.2258,1
S,495.7347,2
S,625.9087,1
