Line_type,Wavelength,Ionisation_State
S,267.026,2
S,275.563,2
S,277.00159999999994,2
S,290.4469,2
S,291.0359,2
S,296.452,2
S,300.2407,2
S,307.25300000000004,2
S,307.3344,2
S,308.2083,2
S,308.402,2
S,312.2722,2
S,318.19190000000003,2
S,322.0729,2
S,322.33059999999995,2
P,323.05820000000006,2
S,325.90500000000003,2
P,326.4782,2
S,327.9326,2
S,328.0218,2
P,331.24240000000003,2
S,331.639,2
S,332.3195,2
S,333.27020000000005,2
S,334.6036,2
S,336.4078,2
S,336.80219999999997,2
P,337.271,2
S,337.41729999999995,2
S,338.5083,2
P,339.1998,2
S,342.8388,2
S,344.1128,2
S,344.26840000000004,1
S,346.9509,1
S,347.1709,2
S,347.9413,2
S,348.58540000000005,2
P,349.91040000000004,2
S,350.278,1
S,351.4889,2
S,352.49120000000005,2
S,353.959,1
S,354.9844,2
S,355.80159999999995,1
S,355.87129999999996,1
S,355.9896,2
S,356.5172,1
S,357.07529999999997,1
S,357.8244,1
S,358.05190000000005,2
S,358.66009999999994,1
S,359.07640000000004,1
S,359.5835,1
S,359.95009999999996,2
S,359.98259999999993,2
S,360.48979999999995,2
S,360.74240000000003,1
P,361.6565,2
S,361.78499999999997,2
S,361.8916,2
S,362.80370000000005,1
S,362.9368,1
S,363.3536,2
S,363.46740000000005,1
S,363.8676,1
S,364.5936,2
S,365.0408,2
S,365.28740000000005,2
S,366.4445,1
S,368.27009999999996,2
S,368.4012,1
P,369.265,2
S,369.7679,1
S,370.0719,2
S,370.76370000000003,2
S,371.23909999999995,2
S,371.9351,1
S,372.9524,2
S,373.81620000000004,2
S,374.264,2
S,374.743,1
S,375.605,1
S,378.68359999999996,2
S,378.7858,2
S,379.1829,2
S,379.2794,1
S,379.7058,2
S,381.033,1
P,383.0482,2
S,384.9914,1
S,385.58979999999997,1
S,385.8392,2
P,386.28509999999994,1
S,388.0611,2
S,388.2886,2
P,389.26840000000004,1
P,389.62340000000006,2
S,390.2756,2
S,390.54040000000003,1
P,390.63109999999995,2
S,393.22540000000004,2
P,393.70140000000004,1
P,393.8626,2
P,394.442,1
S,394.8062,1
S,395.6416,1
P,397.30359999999996,1
P,397.35749999999996,1
S,397.4719,2
S,397.7019,1
S,398.2331,1
S,398.76550000000003,1
P,400.79650000000004,1
S,401.25329999999997,1
P,402.0512,1
S,402.15479999999997,1
S,404.6955,1
S,405.54650000000004,2
S,405.9515,1
S,405.97790000000003,2
S,407.788,1
S,408.1243,2
P,408.7632,1
S,409.8099,1
S,411.6361,1
S,411.85459999999995,1
S,413.1504,1
S,414.29140000000007,2
P,415.11080000000004,1
S,419.0697,1
S,421.84250000000003,1
S,428.65559999999994,1
S,429.8905,1
S,438.6397,1
S,440.934,1
S,441.9608,2
S,442.45709999999997,1
S,442.67690000000005,1
P,460.6606,1
S,467.3161,1
S,467.56190000000004,2
S,490.008,2
S,493.4115,2
S,500.7234,1
S,504.2049,2
S,516.4766999999999,2
S,518.8898,2
S,576.2801,1
P,582.6786,1
P,622.1019,1
S,746.951,1
