Line_type,Wavelength,Ionisation_State
S,257.714,2
S,263.877,2
S,264.127,2
S,266.834,2
S,267.829,2
S,268.566,2
S,269.20300000000003,2
S,270.114,2
S,270.19,2
S,270.528,2
S,270.99809999999997,1
S,271.698,2
P,272.778,2
S,272.944,2
S,278.18899999999996,2
S,280.284,2
S,281.175,2
P,281.394,2
S,281.618,2
S,282.07800000000003,2
S,282.87199999999996,2
S,285.967,2
S,286.257,2
S,289.2502,1
S,289.30129999999997,1
S,289.38379999999995,1
P,290.668,2
S,290.8993,1
S,292.504,2
S,295.268,2
S,296.021,2
S,299.133,2
S,305.494,2
S,305.8975,1
S,307.736,2
S,310.61620000000005,1
P,311.1427,1
S,321.0566,1
P,321.2804,1
S,321.3745,1
S,327.778,2
P,333.4313,1
S,335.0397,1
S,339.658,2
S,352.10900000000004,2
P,368.842,2
S,372.494,2
S,374.131,2
S,376.11199999999997,2
S,381.133,1
S,381.967,2
S,386.557,1
S,388.475,1
S,390.71,2
S,391.729,1
S,393.048,2
S,397.196,2
S,403.919,1
S,412.96999999999997,2
S,418.22200000000004,1
S,420.505,2
S,429.87299999999993,1
S,435.509,2
S,443.55600000000004,2
P,452.25699999999995,2
P,459.40299999999996,1
P,462.72200000000004,1
P,466.188,1
S,486.762,1
S,490.718,1
S,491.14,1
S,501.317,1
S,502.291,1
S,502.954,1
S,511.437,1
S,512.9100000000001,1
S,513.3520000000001,1
S,516.007,1
S,516.67,1
S,519.985,1
S,520.096,1
S,520.644,1
P,521.51,1
S,522.3489999999999,1
S,523.924,1
S,526.64,1
S,527.196,1
S,527.2479999999999,1
S,528.2819999999999,1
S,529.126,1
S,529.464,1
P,535.761,1
S,536.161,1
S,537.694,1
S,539.294,1
S,540.277,1
S,545.1510000000001,1
S,545.294,1
S,548.865,1
S,551.052,1
S,554.7439999999999,1
S,557.033,1
S,557.714,1
S,558.0029999999999,1
S,564.58,1
S,576.52,1
S,578.3689999999999,1
S,583.098,1
S,596.607,2
S,596.71,1
S,597.275,1
S,599.283,1
S,601.2560000000001,1
S,601.8149999999999,1
S,602.9,1
S,604.951,2
S,605.736,1
S,608.384,1
S,609.9350000000001,1
S,611.8779999999999,1
S,617.3050000000001,2
S,617.876,1
S,618.813,1
S,619.507,1
S,626.225,1
S,629.9770000000001,1
S,630.341,2
S,635.004,1
S,640.0930000000001,1
S,641.004,1
S,641.132,1
S,643.764,2
S,645.796,1
S,664.511,2
S,680.272,1
S,686.454,1
S,704.02,1
S,707.71,2
S,719.481,2
S,721.755,2
S,730.117,2
S,737.022,2
S,742.6569999999999,2
S,758.391,1
