Line_type,Wavelength,Ionisation_State
S,350.1388,2
S,350.14509999999996,2
S,350.15690000000006,2
S,350.284,2
S,350.29640000000006,2
S,350.31059999999997,2
S,350.5369,2
S,350.5515,2
S,350.5628,2
S,360.1393,2
S,360.2838,2
S,370.45259999999996,2
P,384.7086,2
P,384.99850000000004,2
P,385.16679999999997,2
S,389.8825,2
S,390.1933,2
P,402.47259999999994,2
P,402.50100000000003,2
P,402.5491,2
S,410.30740000000003,2
S,410.32159999999993,2
S,410.3508,2
S,410.371,2
S,410.387,2
S,424.6227,2
S,424.6385,2
S,424.659,2
S,424.67740000000003,2
S,424.6844,2
S,429.91700000000003,2
S,444.6527,2
S,444.6722,2
S,444.7188,2
P,623.9651,1
P,634.8508,1
S,641.3651,1
S,669.0481,1
S,677.3984,1
S,683.4264000000001,1
P,685.603,1
S,687.0215000000001,1
P,690.2475000000001,1
S,690.9816,1
S,696.6349,1
P,703.7469,1
P,712.789,1
S,717.99,2
P,720.236,1
S,721.179,2
P,731.1019,1
S,733.1957,1
P,739.8688,1
S,742.5645000000001,1
S,748.2723000000001,1
S,748.9155,1
S,755.2235,1
S,757.3384,1
S,760.717,1
P,775.4696,1
P,780.0211999999999,1
S,801.601,2
S,812.926,1
S,817.9339,1
S,821.4726,1
S,823.0773000000002,1
S,829.8581,1
