Line_type,Wavelength,Ionisation_State
S,217.80808000000002,1
S,225.95103,1
S,229.25249,1
S,229.81689,1
S,230.01417999999998,1
S,232.73958,2
S,233.13083999999998,2
S,233.2799,2
S,233.80065,2
P,234.34951,2
S,234.3961,2
S,234.42816,2
S,234.81158999999997,2
S,234.83024999999998,2
S,235.91322,2
S,235.99997,2
S,236.02945,2
S,236.38611999999998,2
S,236.48281000000003,2
S,236.57654000000002,2
S,236.85963999999998,2
S,236.99534,2
S,237.36245,1
S,237.37357000000003,2
S,237.5194,2
S,237.64294,2
S,237.92765,2
S,238.07616,2
P,238.20376000000002,2
S,238.32451999999998,2
S,238.86289000000002,2
P,239.56253999999998,2
S,239.92413000000002,2
P,240.48858,2
S,240.66612,2
S,240.69761,2
S,241.05192000000002,2
S,241.10677,2
S,241.33103999999997,2
S,241.78707,2
S,242.26882,2
S,242.41456,2
S,242.83638000000002,2
S,243.00783,2
S,243.22611999999998,2
S,243.28732,2
S,243.93014,2
S,244.371,2
S,244.45154000000002,2
S,244.55731999999998,2
S,245.75891000000001,1
S,245.87838000000002,2
S,246.04404,2
S,246.12835,2
S,246.18609999999998,2
S,246.26471999999998,1
S,246.51492,1
S,246.66713,2
S,246.68194,2
S,246.88799,1
S,246.95147000000003,2
S,247.06694000000002,2
S,247.23319999999998,1
S,247.28713,1
S,247.48145,1
S,247.85722,2
S,247.97764,1
S,248.01577000000003,2
S,248.21172,2
S,248.26577000000003,2
P,248.32707999999997,1
S,248.35333999999997,1
S,248.41875,1
S,248.42446,2
S,248.63728,1
P,248.81426000000002,1
S,248.94833,2
S,248.97523999999999,1
P,249.06443,1
S,249.08584000000002,2
S,249.11550000000003,1
S,249.13965,2
S,249.31846000000002,2
P,249.32637,2
S,249.65337,1
S,250.11318,1
S,250.23930000000001,2
S,250.38745,2
S,250.60935,2
S,250.79004,1
S,251.08350000000002,1
S,251.17603,2
S,251.23649999999998,1
S,251.76610999999997,1
S,251.81018,1
S,251.90472,2
P,252.28494,1
S,252.42925,1
S,252.53879,2
S,252.62939,2
S,252.74351000000001,1
S,252.91350000000003,1
S,253.36273999999997,2
S,253.44186,2
S,253.54856,2
S,253.56069000000002,1
S,253.66726,2
S,253.68,2
S,253.87986999999998,2
S,253.89094,2
S,253.89899999999997,2
S,254.06599999999997,2
S,254.09722000000002,1
S,254.11010000000002,2
S,254.18357999999998,2
S,254.21013,1
S,254.33781,2
S,254.59785000000002,1
S,254.66700999999998,2
S,254.87442000000001,2
S,254.90832999999998,2
S,254.93946999999997,2
S,254.94616000000002,2
S,254.96133,1
S,255.00274,2
S,255.06832,2
S,256.25356,2
S,256.34755,2
S,256.69126,2
S,257.43662,2
S,257.66902,1
S,257.79219,2
S,258.25832,2
S,258.45358999999996,1
P,258.58758,2
S,259.15428,2
P,259.83692,2
P,259.93956,2
S,259.95669,1
S,260.65162,2
S,260.68264,1
P,260.70871,2
P,261.18736,2
S,261.38243,2
S,261.76174000000003,2
S,262.041,2
S,262.35339,1
S,262.56671,2
S,262.82930999999996,2
S,263.10470999999995,2
S,263.13232,2
S,263.58088,1
S,266.46637999999996,2
S,266.68125,1
S,267.90242,1
S,268.47536,2
S,268.92122,1
S,269.26019,2
S,270.39891,2
S,270.65819999999997,1
S,271.44129,2
P,271.90273,1
S,272.09023,1
S,272.35774000000004,1
S,272.75392,2
S,272.89,2
S,273.35805999999997,1
S,273.54753,1
S,273.73091,1
P,273.95474,2
S,274.24053,1
S,274.31969,2
S,274.64838,2
P,274.93216,2
S,274.9486,2
S,275.01406000000003,1
S,275.32876999999996,2
P,275.57365,2
S,276.181,2
S,277.2074,1
S,277.82202,1
P,278.81047,1
S,280.45203000000004,1
S,280.69841,1
S,281.32864,1
S,282.32756,1
S,282.55557,1
S,283.24355,1
S,283.81194,1
S,284.39763,1
S,285.17969,1
S,293.69033,1
S,294.7876,1
S,295.39399,1
S,296.68982,1
S,297.00994000000003,1
S,297.31323000000003,1
S,297.32354,1
S,298.14450999999997,1
S,298.35695999999996,1
S,299.44268,1
S,299.95117,1
S,300.09478,1
S,300.81381999999996,1
S,302.00100000000003,2
S,302.04907,1
S,302.06389,1
S,302.10728,1
S,302.40327,1
S,302.58423,1
S,303.73887,1
S,304.76045,1
S,305.74458,1
S,305.90857,1
S,319.32258,1
S,319.32998,1
S,322.20591,1
S,322.57871,1
S,323.62224000000003,1
S,335.52278,1
S,340.74597,1
S,342.71194,1
P,344.0606,1
S,344.09888,1
S,344.38765,1
S,346.58606,1
S,347.54502,1
S,347.67019,1
S,349.05740000000003,1
S,349.78406,1
S,352.12612,1
S,352.60408,1
S,354.10832999999997,1
S,355.49246,1
S,355.85151,1
S,356.53789,1
S,357.00977,1
S,357.02542,1
P,358.11931,1
S,358.53188,1
S,358.69849,1
S,360.66794,1
S,360.88594,1
S,361.87678,1
S,363.14630999999997,1
S,364.78427999999997,1
S,367.99133,1
S,368.74568,1
S,370.55659,1
S,370.79199,1
S,370.92463,1
P,371.99348,1
S,372.2563,1
S,372.76189,1
S,373.33176,1
P,373.48638,1
