Line_type,Wavelength,Ionisation_State
S,280.972,2
S,279.693,2
S,299.904,2
S,301.01300000000003,2
S,302.76,2
S,303.284,2
S,303.40500000000003,2
S,306.864,2
S,307.692,2
S,308.19899999999996,2
S,310.05,2
S,310.255,2
S,314.5,2
S,315.653,2
S,316.137,2
S,322.37399999999997,2
S,326.673,1
S,329.148,1
S,329.408,1
S,333.13800000000003,2
S,333.213,2
S,333.618,2
S,334.598,2
P,335.04699999999997,2
P,335.86199999999997,2
S,336.071,2
P,336.223,2
S,339.25300000000004,2
S,340.756,2
S,340.761,2
S,341.695,2
S,341.873,2
P,342.24699999999996,2
S,342.39,1
S,342.392,2
S,342.459,2
S,343.299,2
S,343.921,2
S,343.978,2
S,343.99899999999997,2
S,345.038,2
S,345.123,2
S,345.49,2
S,346.398,2
S,346.727,2
S,346.899,2
S,347.322,2
S,348.12800000000004,2
S,348.18,2
S,349.195,2
S,349.44,2
S,350.55100000000004,2
S,351.222,2
S,351.25,2
S,351.365,1
S,352.41999999999996,2
P,354.58000000000004,2
S,354.93600000000004,2
S,355.70500000000004,2
S,357.193,2
S,358.191,2
P,358.496,2
S,359.271,2
S,360.48699999999997,1
S,360.875,2
S,361.076,2
S,364.562,2
P,364.619,2
S,365.254,2
S,365.462,2
S,365.615,2
S,366.226,2
S,366.46,2
S,367.12,2
S,367.40500000000003,1
S,367.921,1
P,368.413,1
S,368.633,2
S,368.774,2
S,369.773,2
S,369.973,2
S,371.27,2
P,371.357,1
S,371.636,2
P,371.748,1
S,371.945,2
S,371.95300000000003,2
S,373.084,2
S,373.976,1
P,374.347,2
S,374.483,1
S,375.794,1
S,375.831,2
S,375.9,2
S,376.071,2
S,376.21999999999997,1
S,376.704,2
P,376.839,2
S,376.945,2
S,377.069,2
S,378.23400000000004,2
P,378.305,1
S,378.756,2
S,379.117,2
P,379.637,2
S,380.129,2
S,381.397,2
S,381.664,2
S,383.691,2
S,383.964,2
S,384.21999999999997,2
S,384.32800000000003,1
S,384.45799999999997,2
S,385.069,2
P,385.097,2
P,385.245,2
S,386.69899999999996,1
S,389.46999999999997,2
S,390.24,2
S,390.565,1
P,391.651,2
S,393.479,1
S,393.482,2
S,394.18,1
S,394.26300000000003,1
S,394.554,1
S,395.337,1
S,395.767,2
S,395.944,2
S,395.952,2
S,396.62800000000004,1
S,396.826,2
S,396.9,1
S,397.271,1
S,397.398,2
S,397.933,1
S,398.784,1
S,399.269,1
S,399.416,2
S,399.632,2
S,400.83299999999997,1
S,401.771,1
S,402.31399999999996,1
S,402.335,1
S,402.815,1
S,403.088,1
S,403.349,1
S,403.54,1
S,403.733,2
S,403.79,2
S,404.371,1
S,404.50100000000003,1
S,404.943,2
P,404.986,2
S,405.329,2
P,405.364,1
S,405.472,1
P,405.822,1
S,405.988,1
S,406.259,2
S,406.339,2
S,406.835,1
S,407.029,2
S,407.039,2
S,407.32,2
S,407.844,2
P,407.87,1
S,408.37,1
S,408.556,2
S,409.041,1
S,409.271,1
P,409.861,2
S,410.026,1
P,413.037,2
S,413.22799999999995,2
S,413.416,1
P,417.554,1
P,418.425,2
P,419.078,1
S,419.10699999999997,2
S,419.163,1
S,420.486,2
S,421.2,2
S,421.50200000000007,2
S,421.71999999999997,2
S,422.503,1
P,422.58500000000004,1
S,423.878,2
S,425.17299999999994,2
S,425.337,2
S,425.361,2
S,426.012,1
S,426.209,1
S,426.66,1
S,426.7,1
S,428.049,2
S,428.582,1
S,429.929,1
S,430.634,1
P,431.384,1
S,431.43999999999994,1
S,432.052,1
S,432.111,2
S,432.12,1
S,432.55699999999996,2
S,432.56899999999996,1
P,432.712,1
S,432.95799999999997,1
S,434.218,2
S,434.43,2
P,434.646,1
S,434.662,1
S,437.383,1
P,440.186,1
S,440.314,1
S,441.116,1
S,441.416,1
S,441.47299999999996,1
P,442.241,1
P,443.063,1
S,446.70799999999997,1
S,447.413,1
S,447.61199999999997,1
S,449.713,1
S,450.621,1
P,451.966,1
S,453.78100000000006,1
S,458.129,1
S,458.30699999999996,1
S,459.89,1
S,461.45,1
S,463.66400000000004,1
S,465.354,1
S,468.33299999999997,1
S,469.433,1
S,469.742,1
S,474.36499999999995,1
S,475.87,1
S,476.724,1
S,482.169,1
S,501.504,1
P,510.34499999999997,1
P,515.5840000000001,1
S,519.777,1
S,525.118,1
S,569.6220000000001,1
S,611.4069999999999,1
