Line_type,Wavelength,Ionisation_State
S,201.129,1
P,201.9068,1
S,204.1712,1
S,204.377,1
S,205.44609999999997,1
S,205.72379999999998,1
S,206.5215,1
S,206.8656,1
S,208.6021,1
S,209.42579999999998,1
S,210.5824,1
S,219.8714,1
S,250.054,2
P,259.2534,1
P,265.1172,1
P,265.15680000000003,1
P,269.1341,1
P,270.9624,1
S,272.978,2
P,275.4588,1
P,283.1843,2
P,284.5527,2
P,303.9067,1
S,306.70210000000003,1
P,326.9489,1
S,349.921,2
P,474.18059999999997,2
P,481.4608,2
P,589.3389,2
P,602.1041,2
S,1125.283,1
S,1161.481,1
S,1171.476,1
P,1206.92,1
P,1239.158,1
S,1310.761,1
S,1482.2379999999998,1
