Line_type,Wavelength,Ionisation_State
S,238.54000000000002,2
S,251.11999999999998,2
S,272.319,1
S,273.33000000000004,2
S,276.38,1
S,281.82,1
S,282.908,1
S,294.511,1
S,301.37,1
S,318.774,1
S,320.31,2
S,335.45500000000004,1
S,344.759,1
S,358.727,1
S,361.364,1
S,363.423,1
S,370.5,1
S,373.286,1
S,381.9607,1
S,381.976,1
P,388.86046,1
P,388.86456,1
P,388.86489,1
S,396.4729,1
S,400.927,1
S,402.6191,1
S,402.636,1
S,412.082,1
S,412.099,1
S,414.37600000000003,1
S,438.79290000000003,1
S,443.755,1
S,447.14790000000005,1
S,447.168,1
S,468.53769,2
S,468.54071999999996,2
S,468.57038,2
S,468.57043999999996,2
S,468.58041000000003,2
S,471.3146,1
S,471.338,1
S,492.19309999999996,1
S,501.5678,1
S,504.774,1
S,541.152,2
P,587.5614800000001,1
P,587.56404,1
P,587.59663,1
S,656.01,2
P,667.8151700000001,1
S,686.7479999999999,1
P,706.51771,1
P,706.52153,1
P,706.57086,1
S,728.135,1
S,781.615,1
S,836.1690000000001,1
S,906.327,1
S,921.034,1
S,946.3610000000001,1
S,951.6600000000001,1
S,952.617,1
S,952.927,1
S,960.342,1
S,970.26,1
S,1002.7729999999999,1
S,1003.116,1
S,1012.36,2
S,1013.85,1
S,1031.123,1
S,1031.154,1
S,1066.7649999999999,1
P,1082.90911,1
P,1083.0250099999998,1
P,1083.03398,1
S,1091.3049999999998,1
S,1091.71,1
S,1162.6399999999999,2
S,1196.912,1
S,1252.752,1
S,1278.499,1
S,1279.057,1
S,1284.596,1
S,1296.845,1
S,1298.489,1
S,1508.364,1
S,1700.247,1
S,1855.5549999999998,1
S,1863.6799999999998,2
S,1868.534,1
S,1869.723,1
S,1908.938,1
S,1954.3080000000002,1
P,2058.1287,1
S,2112.007,1
S,2112.143,1
S,2113.203,1
S,3090.85,2
S,4047.8900000000003,1
