Line_type,Wavelength,Ionisation_State
P,201.278,2
P,202.818,2
S,209.618,2
S,221.08200000000002,2
S,225.401,2
S,227.71599999999998,2
S,232.24699999999999,2
S,232.325,2
S,232.48899999999998,2
S,234.744,2
S,235.12199999999999,2
S,239.336,2
S,239.38299999999998,2
S,240.542,2
S,241.01399999999998,2
S,241.769,2
S,244.725,2
S,246.04899999999998,2
S,246.419,2
S,251.269,2
S,251.30300000000003,2
P,251.68800000000002,2
S,253.119,2
S,255.14000000000001,2
S,257.16700000000003,2
S,257.39,2
S,257.682,2
S,257.81399999999996,2
S,258.254,2
S,260.637,2
S,260.70300000000003,2
S,262.274,2
S,263.871,2
P,264.14099999999996,2
S,264.729,2
S,270.56100000000004,1
S,271.85900000000004,1
S,273.87600000000003,2
S,275.181,2
S,276.163,1
P,277.336,2
S,277.937,1
S,281.768,1
P,282.022,2
S,282.268,2
S,284.58299999999997,1
S,285.096,1
S,286.101,2
S,286.16999999999996,2
P,286.637,1
S,288.962,1
P,289.826,1
P,290.441,1
S,290.475,1
P,291.648,1
S,291.858,1
S,291.959,2
S,292.963,2
S,292.99,1
S,293.78000000000003,2
P,294.077,1
S,295.068,1
S,295.41999999999996,1
S,295.802,1
S,296.488,1
S,296.693,1
S,296.881,2
S,297.588,2
S,298.081,1
S,300.556,1
S,301.29,2
S,301.678,1
S,301.694,2
S,301.831,1
S,302.053,1
S,303.116,2
S,305.076,1
S,305.702,1
S,306.741,1
P,307.288,1
S,307.479,1
S,308.084,1
S,310.14,2
S,310.912,2
S,313.181,1
P,313.472,2
S,315.663,1
S,315.982,1
S,316.261,2
S,316.839,1
S,317.294,1
S,317.68600000000004,2
S,319.353,2
S,319.419,2
S,320.611,1
S,324.76599999999996,1
S,324.95300000000003,1
P,325.37,2
S,331.027,1
S,331.286,1
S,333.273,1
S,335.206,2
S,335.89099999999996,1
S,338.983,2
S,339.281,1
S,339.726,1
S,339.76,1
P,339.98,2
S,341.73400000000004,1
S,341.918,1
S,347.24,1
S,347.928,2
S,349.716,1
S,349.74899999999997,1
S,350.523,2
S,352.302,1
S,353.554,2
S,353.662,1
S,355.27,2
S,356.166,2
S,356.736,1
S,356.904,2
S,359.98699999999997,1
S,361.68899999999996,1
S,363.087,2
S,364.43600000000004,2
S,364.90999999999997,1
S,367.57399999999996,1
P,368.224,1
S,369.651,1
S,370.115,2
S,371.78000000000003,1
S,371.928,2
S,373.379,1
S,374.68,1
S,377.764,1
S,378.546,1
S,379.337,2
S,380.038,1
S,381.178,1
S,382.073,1
S,383.002,1
S,384.918,1
S,385.831,1
S,386.091,1
S,388.082,2
S,389.994,1
S,391.809,2
S,393.13800000000003,1
S,395.183,1
S,406.284,1
P,409.316,2
P,417.434,1
S,429.479,1
S,435.633,1
S,456.59399999999994,1
S,459.88,1
S,462.08599999999996,1
S,480.05,1
S,518.1859999999999,1
S,555.0600000000001,1
S,555.212,1
S,713.181,1
P,723.71,1
S,724.087,1
S,762.4399999999999,1
S,784.5350000000001,1
S,799.473,1
