Line_type,Wavelength,Ionisation_State
P,205.2828,2
S,202.68599999999998,2
S,222.47109999999998,2
S,225.2786,2
S,226.02939999999998,2
P,226.2223,2
S,226.3634,2
S,253.65169999999998,1
S,265.20390000000003,1
S,265.3679,1
P,284.76750000000004,2
S,291.625,2
S,294.7074,2
P,296.728,1
S,302.1498,1
S,312.5668,1
S,313.15479999999997,1
S,313.1839,1
S,320.8169,2
S,353.2594,2
S,360.57620000000003,2
P,365.01529999999997,1
S,365.48359999999997,1
S,366.3279,1
S,398.3931,2
P,404.6563,1
S,433.9223,1
S,434.7494,1
P,435.8328,1
S,512.8442,2
S,520.4768,2
P,542.5253,2
P,546.0735,1
P,567.7104999999999,2
S,576.9598,1
S,579.0663,1
S,587.1279000000001,2
S,588.8939,2
S,614.6435,2
S,614.9475,2
S,708.1899999999999,1
S,734.6508,2
P,794.4555,2
S,952.0198,2
P,1013.976,1
S,1357.021,1
S,1367.351,1
S,1529.5819999999999,1
S,1707.279,1
S,2325.307,1
