Line_type,Wavelength,Ionisation_State
S,288.098,2
S,290.941,2
S,297.3,2
S,297.963,2
S,298.764,2
S,304.938,2
S,305.4,2
S,305.745,2
S,308.23400000000004,2
S,308.43600000000004,2
S,308.654,2
S,311.85,2
S,316.662,2
S,317.17199999999997,2
S,317.37800000000004,2
S,317.48400000000004,2
S,318.15,2
S,318.384,2
S,319.783,2
S,320.17600000000004,2
S,327.815,2
S,328.197,2
S,328.846,2
S,333.723,2
S,333.886,2
S,334.358,2
S,339.895,2
S,341.026,2
S,341.065,2
S,341.49,2
P,341.644,2
S,342.163,2
S,342.534,2
S,342.813,2
S,342.918,2
S,344.935,1
P,345.31100000000004,2
S,345.57,2
S,345.602,2
S,346.197,2
S,347.39099999999996,2
S,347.425,2
P,348.48,2
S,348.95799999999997,2
S,349.309,2
S,349.476,2
S,349.88800000000003,2
S,350.695,2
S,351.073,1
S,351.556,2
S,351.994,2
S,354.076,2
S,354.605,2
S,355.678,2
S,356.015,2
S,357.32399999999996,2
S,357.48,2
S,357.912,1
S,358.075,2
S,358.183,2
S,359.223,2
S,359.877,2
S,359.948,1
S,360.09499999999997,2
S,361.331,2
S,361.84299999999996,1
S,362.669,2
S,362.725,2
S,363.17600000000004,2
S,363.83000000000004,2
S,366.229,1
S,366.299,1
S,366.665,1
S,366.79699999999997,1
S,366.952,1
S,367.477,2
S,367.919,1
S,367.96999999999997,1
S,368.265,1
S,368.51599999999996,2
S,369.065,1
S,369.195,1
S,370.004,1
S,370.235,2
S,370.976,1
S,371.288,1
S,372.072,1
S,373.14,1
S,373.209,1
S,373.635,1
S,374.817,2
S,376.909,1
S,379.675,2
S,381.07399999999996,2
S,381.18600000000004,1
S,381.325,2
S,382.927,1
S,383.53499999999997,2
S,383.75100000000003,2
S,384.20500000000004,2
S,384.386,2
S,384.673,2
S,384.988,1
S,385.40700000000004,2
S,385.694,2
S,385.772,2
S,386.168,2
S,386.262,1
S,387.46799999999996,2
S,388.161,2
S,388.896,2
S,389.04200000000003,1
S,389.094,2
S,389.67600000000004,2
S,390.444,1
S,390.568,2
S,391.18,1
S,391.945,1
S,393.885,1
S,395.056,1
S,395.573,1
S,395.96799999999996,1
S,397.588,1
S,397.693,1
S,399.95799999999997,1
S,400.339,1
S,402.721,1
S,402.886,1
S,403.762,1
P,404.081,1
S,404.54699999999997,2
S,404.752,1
P,405.387,1
S,405.448,2
S,405.755,1
S,406.031,1
S,406.509,2
S,406.805,1
S,407.183,1
S,407.313,1
S,407.351,1
S,408.367,1
S,410.02200000000005,1
P,410.38,1
S,410.65,1
P,410.86199999999997,1
S,411.2,1
S,411.67299999999994,1
S,412.02,1
S,412.56499999999994,1
P,412.716,1
S,413.454,1
S,413.622,1
S,414.21899999999994,1
S,414.89700000000005,1
S,415.26099999999997,2
P,416.303,1
P,417.32,1
S,419.43500000000006,1
S,422.229,1
S,422.34700000000004,1
P,422.713,1
S,422.95200000000006,2
S,424.378,1
S,425.438,1
S,426.40500000000003,1
S,426.604,1
P,435.073,1
P,493.901,1
S,497.997,1
S,598.2850000000001,1
P,660.491,1
S,755.509,1
