Line_type,Wavelength,Ionisation_State
P,206.163,1
S,258.279,2
S,307.875,2
P,511.929,1
S,516.12,2
S,524.571,2
P,533.822,2
S,534.515,2
S,543.583,2
S,546.462,2
P,562.569,2
S,569.091,2
S,571.053,2
S,595.025,2
S,607.4979999999999,2
S,612.749,2
S,661.966,1
S,681.257,2
S,740.206,1
S,746.899,1
P,804.374,1
S,824.0049999999999,1
S,839.3299999999999,1
S,885.75,1
S,902.24,1
P,905.833,1
S,911.391,1
S,942.6709999999999,1
S,942.7149999999999,1
S,965.3059999999999,1
S,973.173,1
S,1046.654,1
