Line_type,Wavelength,Ionisation_State
P,207.8608,2
S,230.60459999999998,2
S,230.686,1
S,238.954,1
S,246.00799999999998,1
S,246.802,1
S,252.137,1
S,255.44340000000003,2
P,256.015,1
S,260.17600000000004,1
P,271.0265,1
S,271.394,1
P,275.3878,1
S,277.537,1
S,283.692,1
S,285.81399999999996,1
S,289.0179,2
P,293.26300000000003,1
P,294.105,2
S,295.701,1
P,303.9356,1
P,325.6089,1
P,325.8565,1
S,371.614,2
S,379.921,2
S,383.46500000000003,2
S,384.21799999999996,2
S,396.235,2
S,405.694,2
P,410.17503999999997,1
P,451.12972,1
S,462.014,2
S,463.816,2
S,464.45799999999997,2
S,465.562,2
S,465.674,2
S,468.48,2
S,512.08,2
S,512.175,2
S,517.542,2
S,543.67,2
S,551.3,2
S,552.328,2
S,557.6899999999999,2
S,563.67,2
S,570.991,1
S,572.768,1
S,585.3149999999999,2
S,590.3399999999999,2
S,591.54,2
S,609.595,2
S,610.866,2
S,612.87,2
S,612.9399999999999,2
S,613.21,2
S,622.83,2
S,630.48,2
S,636.23,2
S,646.9,2
S,654.12,2
S,689.1560000000001,2
S,718.289,2
S,727.65,2
S,735.0600000000001,2
S,774.0699999999999,2
S,822.7,2
S,921.3,2
S,937.027,1
S,997.7860000000001,1
S,1025.703,1
S,1071.742,1
S,1074.431,1
P,1291.259,1
P,1342.9959999999999,1
