Line_type,Wavelength,Ionisation_State
S,201.065,1
S,202.23499999999999,1
P,203.357,1
S,205.22199999999998,1
S,206.064,1
S,208.32199999999997,1
S,208.57399999999998,1
P,208.882,1
S,209.263,1
S,211.26799999999997,1
P,212.68099999999998,2
S,212.794,1
S,214.82199999999997,1
S,215.054,1
P,215.26799999999997,2
S,215.581,1
P,215.805,1
S,216.288,1
P,216.942,2
S,217.52399999999997,1
S,217.817,1
S,218.743,2
S,219.038,2
P,220.496,2
S,220.80900000000003,2
S,222.03699999999998,1
P,224.269,2
S,225.33800000000002,1
S,225.51,1
S,225.581,1
S,225.88600000000002,1
S,226.461,1
S,226.63299999999998,1
S,226.89000000000001,1
P,228.102,2
S,229.805,1
S,230.05,1
S,230.42199999999997,1
S,230.89299999999997,1
S,233.33,1
S,233.38400000000001,1
S,233.45,1
S,234.31799999999998,1
S,234.36100000000002,1
S,235.5,1
S,236.304,1
P,236.804,2
P,237.277,1
S,237.50900000000001,2
S,238.16199999999998,1
S,238.689,1
S,239.06199999999998,1
S,239.118,1
S,241.331,1
S,241.811,1
S,242.65300000000002,2
S,242.76100000000002,1
S,243.12399999999997,1
S,243.19400000000002,1
S,245.281,1
S,245.561,1
S,246.73000000000002,1
P,247.512,1
S,248.118,1
S,249.308,1
P,250.298,1
S,251.25799999999998,2
S,253.31300000000002,1
S,253.446,1
S,253.72199999999998,1
S,254.202,1
P,254.397,1
S,254.603,1
S,256.418,1
S,257.726,1
S,259.206,1
S,259.904,1
S,260.825,1
S,261.13,1
S,263.41700000000003,1
P,263.971,1
S,266.198,1
P,266.479,1
S,266.991,1
S,267.184,1
P,269.423,1
S,278.129,1
S,279.735,1
S,279.77,1
S,282.318,1
S,282.445,1
S,283.64,1
S,283.916,1
S,284.022,1
P,284.972,1
S,288.264,1
S,289.71500000000003,1
P,292.479,1
S,293.464,1
S,293.668,1
S,294.315,1
S,295.12199999999996,1
S,300.363,1
S,306.889,1
S,310.029,1
S,310.04499999999996,1
S,313.332,1
S,321.212,1
P,322.07800000000003,1
S,336.848,1
S,343.702,1
P,351.364,1
S,357.37199999999996,1
S,362.867,1
P,373.136,2
S,374.71999999999997,1
S,380.012,1
S,397.631,1
S,426.81000000000006,1
S,431.15,1
