Line_type,Wavelength,Ionisation_State
S,219.0,2
S,255.002,2
S,299.212,1
S,299.222,1
S,303.476,1
S,303.492,1
S,310.179,1
S,310.204,1
S,310.5,2
S,321.716,1
S,321.762,1
S,344.005,2
S,344.637,1
S,344.738,1
S,353.075,2
S,361.849,2
S,364.884,1
S,364.898,1
S,368.154,2
S,381.656,2
S,381.75,2
S,389.79200000000003,2
S,400.12399999999997,2
P,404.414,1
P,404.721,1
S,413.47200000000004,2
S,414.919,2
S,418.62399999999997,2
S,422.297,2
S,422.567,2
S,426.34,2
S,430.5,2
S,430.91,2
S,438.816,2
S,460.84499999999997,2
S,464.188,1
S,464.23699999999997,1
S,474.091,1
S,474.43500000000006,1
S,475.39300000000003,1
S,475.73900000000003,1
S,478.649,1
S,479.105,1
S,479.975,1
S,480.43500000000006,1
S,482.92299999999994,2
S,484.986,1
S,485.60900000000004,1
S,486.34799999999996,1
S,486.976,1
S,494.20200000000006,1
S,495.082,1
S,495.61499999999995,1
S,496.503,1
S,500.56000000000006,2
S,505.62700000000007,2
S,508.42299999999994,1
S,509.717,1
S,509.91999999999996,1
S,511.225,1
S,532.328,1
S,533.9689999999999,1
S,534.297,1
S,535.957,1
S,578.238,1
S,580.175,1
S,581.2149999999999,1
S,583.1890000000001,1
S,612.027,2
S,630.729,2
S,691.108,1
S,693.6279999999999,1
S,693.8770000000001,1
S,696.418,1
S,696.467,1
P,766.48991,1
P,769.89645,1
S,795.537,1
S,795.683,1
S,807.8109999999999,1
S,807.962,1
S,825.018,1
S,825.174,1
S,839.0219999999999,1
S,839.144,1
S,841.7540000000001,1
S,842.0,1
S,850.345,1
S,850.5110000000001,1
S,876.396,1
S,876.7049999999999,1
S,890.219,1
S,890.402,1
S,892.3309999999999,1
S,892.5440000000001,1
S,934.7239999999999,1
S,934.925,1
S,935.159,1
S,959.57,1
S,959.783,1
S,994.967,1
S,995.414,1
S,1047.963,1
S,1048.215,1
S,1048.711,1
S,1101.987,1
S,1102.267,1
P,1169.021,1
P,1176.962,1
P,1177.283,1
S,1243.224,1
S,1252.211,1
S,1337.786,1
S,1339.709,1
S,1516.308,1
S,1516.84,1
S,4015.8370000000004,1
