Line_type,Wavelength,Ionisation_State
S,246.477,2
S,249.248,2
S,271.24,2
S,283.3,2
S,360.788,2
S,363.1889,2
S,365.39279999999997,2
S,366.5324,1
S,366.901,2
S,367.95799999999997,1
S,368.6182,2
S,371.802,2
S,371.85949999999997,2
S,372.135,2
S,374.1638,2
S,374.48,2
S,375.42449999999997,2
S,377.8046,2
S,378.30949999999996,2
S,387.544,2
S,390.6177,2
S,392.0081,2
S,399.48400000000004,2
S,399.77930000000003,2
S,405.70369999999997,2
S,406.5128,2
S,408.8337,2
S,409.8729,2
S,410.92479999999995,2
S,414.5122,2
S,425.058,2
S,427.39694,1
S,428.29674000000006,1
S,429.29229999999995,2
S,430.049,2
S,431.78100000000006,2
S,431.85513000000003,1
S,431.95793999999995,1
S,432.29799999999994,2
S,435.13597,1
P,435.54769999999996,2
S,436.26416,1
S,436.96899999999994,2
S,437.61216,1
S,438.654,2
S,439.99663,1
S,442.51901,1
S,443.16850000000005,2
S,443.6812,2
S,445.39174999999994,1
S,446.36899999999997,1
S,447.5014,2
S,448.988,2
S,450.23543,1
S,452.314,2
S,455.66099999999994,2
S,457.7209,2
S,458.2978,2
S,459.28000000000003,2
S,461.52920000000006,2
P,461.9166,2
S,463.3885,2
P,465.8876,2
S,468.0406,2
S,469.1301,2
S,469.436,2
P,473.90020000000004,2
S,476.24350000000004,2
P,476.57439999999997,2
S,481.17600000000004,2
S,482.51800000000003,2
P,483.20770000000005,2
P,484.6612,2
S,485.71999999999997,2
S,494.559,2
S,502.23999999999995,2
S,508.65200000000004,2
S,512.573,2
S,520.832,2
S,530.866,2
S,533.341,2
S,546.817,2
S,556.22253,1
P,557.0289399999999,1
S,558.03873,1
S,564.95618,1
S,568.1890000000001,2
S,569.0350000000001,2
S,583.28566,1
P,587.0916,1
S,599.222,2
S,599.3850199999999,1
S,605.61263,1
S,642.018,2
S,642.1027,1
S,645.62889,1
S,657.007,2
S,669.92296,1
S,690.4678799999999,1
S,721.313,2
S,722.4104,1
S,728.7257999999999,1
S,728.978,2
S,740.702,2
S,742.5541000000001,1
S,743.578,2
S,748.6862,1
S,752.446,2
S,758.74136,1
S,760.1545699999999,1
S,764.116,2
S,768.52459,1
S,769.45401,1
S,773.569,2
S,774.6827000000001,1
S,785.48234,1
S,791.3425100000001,1
S,792.85988,1
S,793.322,2
S,797.362,2
S,798.2401,1
S,805.95048,1
P,810.43655,1
P,811.29012,1
S,813.2967,1
P,819.00566,1
S,820.2719999999999,2
S,821.8365,1
P,826.32426,1
S,827.2352999999999,1
S,828.10522,1
P,829.81099,1
S,841.243,1
P,850.8872799999999,1
S,876.4110000000001,1
P,877.67505,1
S,892.86934,1
S,923.848,2
S,929.382,2
S,932.0989999999999,2
S,936.195,2
S,936.2082,1
S,940.2819999999999,2
S,947.0930000000001,2
P,957.7520000000001,2
S,960.5799999999999,2
S,961.961,2
S,966.3340000000001,2
S,971.1600000000001,2
S,975.1761,1
S,980.314,2
S,985.6314,1
P,1022.146,2
S,1118.7108,1
S,1125.7711,1
S,1125.9126,1
S,1145.7481,1
S,1179.2424999999998,1
S,1181.9377,1
S,1199.7105,1
S,1207.7224,1
S,1286.1892,1
S,1317.7412,1
S,1362.2415,1
P,1363.422,1
S,1365.8394,1
S,1371.1036,1
S,1373.8851,1
S,1397.4027,1
S,1404.5656999999999,1
S,1410.4298000000001,1
S,1440.222,1
P,1442.6793,1
S,1451.784,1
S,1473.4436,1
S,1476.2672,1
S,1476.5472,1
S,1496.1894,1
S,1500.5307,1
S,1520.9526,1
S,1523.9615,1
S,1532.648,1
S,1533.4958000000001,1
S,1537.2037,1
S,1547.4026,1
S,1568.102,1
S,1582.009,1
S,1672.6513,1
S,1678.5128,1
S,1685.3488000000002,1
P,1689.0440999999998,1
S,1689.6753,1
S,1693.5806,1
S,1709.8771000000002,1
S,1736.7606,1
S,1740.4442999999999,1
S,1761.6853999999998,1
S,1784.2737000000002,1
S,1800.2229,1
P,1816.7314999999999,1
S,1839.9786,1
S,1858.0896,1
S,1869.6294000000003,1
S,1878.5459999999998,1
S,1879.7703000000001,1
S,2020.9878,1
S,2042.3964,1
S,2044.6971,1
S,2116.5471000000002,1
S,2190.2513,1
S,2248.5775000000003,1
S,2334.0416,1
S,2426.0506,1
S,2429.2221,1
S,2523.382,1
S,2861.055,1
S,2865.572,1
S,2876.971,1
S,2882.2490000000003,1
S,2923.669,1
S,3066.3540000000003,1
S,3097.916,1
S,3930.06,1
S,3948.6519999999996,1
S,3955.725,1
S,3957.2599999999998,1
S,3958.84,1
S,3958.96,1
S,3995.4800000000005,1
S,3996.66,1
S,4030.6099999999997,1
S,4068.5160000000005,1
