Line_type,Wavelength,Ionisation_State
S,225.67600000000002,2
S,324.51300000000003,2
S,326.567,2
S,330.31100000000004,2
S,333.74899999999997,2
S,334.456,2
S,338.091,2
P,357.443,1
S,364.153,1
S,364.54200000000003,2
P,375.908,2
P,379.08299999999997,2
P,379.478,2
S,384.902,2
P,387.164,2
S,388.637,2
S,391.605,2
S,392.154,2
S,392.756,1
S,392.92199999999997,2
P,394.90999999999997,2
P,398.852,2
P,399.575,2
S,401.539,1
P,403.169,2
P,404.291,2
P,406.033,1
P,407.735,2
P,408.67199999999997,2
S,408.961,1
P,412.323,2
S,415.197,2
P,418.73199999999997,1
S,419.65500000000003,2
S,423.838,2
P,428.02700000000004,1
P,433.37399999999997,2
S,442.39,1
S,442.98999999999995,2
S,452.23699999999997,2
S,456.791,1
S,457.00200000000007,1
S,489.992,2
S,492.09799999999996,2
S,492.179,2
P,494.97700000000003,1
S,499.947,2
S,505.05699999999996,1
S,505.646,1
S,510.62299999999993,1
P,514.542,1
S,515.8689999999999,1
P,517.731,1
S,518.342,2
P,521.1859999999999,1
P,523.427,1
S,525.346,1
S,527.1189999999999,1
P,545.515,1
P,550.134,1
S,564.825,1
S,574.066,1
S,576.934,1
S,578.924,1
P,579.134,1
S,593.062,1
P,624.993,1
P,639.423,1
S,641.0989999999999,1
S,645.5989999999999,1
S,654.316,1
S,657.851,1
S,733.418,1
S,753.923,1
S,808.605,1
S,832.469,1
S,834.653,1
S,854.5440000000001,1
