Line_type,Wavelength,Ionisation_State
S,232.98359999999997,2
S,238.1538,2
S,238.31990000000002,2
S,240.2331,2
S,241.0842,2
S,242.98139999999998,2
S,250.69400000000002,2
S,250.87849999999997,2
S,253.9487,2
S,255.17,2
S,260.5081,2
S,265.7293,2
S,265.7303,2
S,267.446,2
S,272.8288,2
S,272.8315,2
S,273.0473,2
S,273.0551,2
S,276.6989,2
S,279.0313,2
S,302.9121,2
S,302.9136,2
S,315.5308,2
S,315.533,2
S,319.633,2
S,319.6356,2
S,319.9332,2
S,319.9434,2
S,323.26329999999996,1
S,323.2643,1
S,324.9868,2
S,330.6284,2
S,368.432,2
S,413.26239999999996,1
S,413.2625,1
S,415.5946,2
S,432.5419,2
S,432.54709999999994,2
P,460.2831,1
P,460.2898,1
S,460.2902,1
S,467.1651,2
S,467.1705,2
S,467.80559999999997,2
S,467.829,2
S,478.83630000000005,2
S,488.13199999999995,2
S,488.13860000000005,2
S,488.149,2
S,497.1665,1
S,497.17479999999995,1
S,503.7915,2
P,548.356,2
P,548.45,2
P,548.511,2
P,610.3542,1
P,610.3654,1
S,610.3667,1
P,670.7774999999999,1
P,670.7926,1
P,812.6232,1
P,812.6453,1
P,958.142,2
S,1870.301,1
S,1870.3110000000001,1
S,1870.3139999999999,1
P,2687.767,1
P,2687.8360000000002,1
