Line_type,Wavelength,Ionisation_State
S,219.554,2
S,257.879,2
S,261.34000000000003,2
P,261.54200000000003,2
S,261.92600000000004,2
S,265.78000000000003,2
S,268.508,1
P,270.171,2
S,272.895,1
P,275.41700000000003,2
S,276.57399999999996,1
S,279.663,2
S,284.75100000000003,2
S,288.514,1
P,289.48400000000004,2
P,290.03000000000003,2
P,291.139,2
P,296.332,2
S,296.982,2
S,298.927,1
P,302.054,2
S,305.67199999999997,2
P,307.76,2
S,308.147,1
P,311.84299999999996,1
S,317.136,1
P,325.431,2
P,327.897,1
P,328.174,1
P,331.211,1
P,335.956,1
P,337.65,1
S,338.55,1
S,339.682,1
P,339.707,2
P,347.248,2
S,350.739,2
S,350.842,1
P,355.443,2
P,356.784,1
S,363.625,1
P,364.777,1
P,384.118,1
S,396.846,1
S,405.445,1
P,412.47299999999996,1
S,415.408,1
S,418.425,2
P,451.85699999999997,1
S,465.802,1
S,490.488,1
S,500.11400000000003,1
P,513.509,1
S,540.257,1
P,547.669,2
S,573.655,1
P,600.452,1
S,605.5029999999999,1
P,622.187,2
S,646.312,2
