Line_type,Wavelength,Ionisation_State
P,202.5824,1
S,273.6542,1
S,277.669,1
S,277.827,1
P,277.982,1
P,277.98339999999996,1
S,278.14160000000004,1
S,278.29720000000003,1
P,279.07759999999996,2
P,279.55301,2
S,279.7998,2
P,280.27056,2
S,284.6716,1
S,284.8342,1
S,285.166,1
P,285.21251,1
S,293.8473,1
S,309.1065,1
S,309.2984,1
S,309.68899999999996,1
S,332.9919,1
P,382.9355,1
P,383.23,1
P,383.8292,1
S,416.72709999999995,1
S,435.1906,1
S,439.0572,2
P,448.11260000000004,2
P,448.1325,2
S,457.10959999999994,1
P,516.7322,1
P,517.2684,1
P,518.3604,1
S,571.1088,1
S,634.6742,2
S,654.5973,2
S,738.7685,1
S,765.7603,1
S,765.9152,1
S,765.9902,1
S,769.155,1
S,787.7054,2
S,789.6366,2
S,821.3034,1
S,821.3987,2
S,823.4636,2
S,834.6120000000001,1
S,871.2689,1
S,871.7825,1
S,873.4979999999999,2
S,873.6021000000001,1
S,874.5663000000001,2
S,880.6757,1
S,882.4318,2
S,883.508,2
S,892.3569,1
S,921.825,2
S,924.4264999999999,2
S,924.6499,1
S,925.5778,1
S,932.7545,2
S,934.0541999999999,2
S,941.4964,1
S,942.9814,1
S,943.2764,1
S,943.8783,1
S,963.1892,2
S,963.2431,2
S,998.32,1
S,998.6479999999999,1
S,999.3209999999999,1
S,1009.216,2
S,1081.108,1
S,1091.423,2
S,1095.178,2
S,1095.3319999999999,1
S,1095.73,1
S,1096.545,1
S,1103.21,1
S,1103.366,1
P,1182.817,1
S,1208.365,1
S,1487.7530000000002,1
P,1502.5,1
S,1504.025,1
S,1504.771,1
S,1710.863,1
