Line_type,Wavelength,Ionisation_State
P,200.3849,1
S,209.2159,1
S,210.95850000000002,1
S,220.88060000000002,1
S,221.3855,1
S,222.1837,1
S,253.4221,2
S,253.5658,2
S,253.7919,2
S,254.875,2
S,255.8605,2
S,256.3642,2
S,257.2755,1
S,257.5509,1
P,257.6103,2
S,258.4302,1
S,259.2944,1
P,259.37199999999996,2
S,259.5763,1
S,259.89050000000003,2
P,260.568,2
S,261.02,2
S,261.8145,2
S,262.5606,2
S,263.23539999999997,2
S,263.8173,2
S,263.98490000000004,2
S,267.2581,2
S,268.8247,2
S,270.1024,2
S,270.1698,2
S,270.398,2
S,270.5732,2
S,270.7544,2
S,270.84520000000003,2
S,271.0336,2
S,271.15680000000003,2
P,279.4817,1
P,279.827,1
P,280.10839999999996,1
S,287.9482,2
S,288.96,2
S,290.0154,2
P,293.3054,2
P,293.9308,2
S,294.0331,1
P,294.9205,2
S,304.4566,1
S,305.4362,1
S,322.80920000000003,1
S,323.0716,1
S,323.6778,1
S,324.3777,1
S,324.8512,1
S,325.2949,1
S,325.6137,1
S,333.0775,2
S,333.63939999999997,2
P,344.1985,2
S,346.03139999999996,2
S,347.4038,2
S,348.2904,2
S,348.8675,2
S,349.5833,2
S,349.7525,2
S,353.18359999999996,1
S,353.211,1
S,354.7794,1
S,354.80219999999997,1
S,354.8182,1
S,356.9494,1
S,356.98040000000003,1
S,357.787,1
S,358.654,1
S,359.511,1
S,360.75300000000004,1
S,360.8485,1
S,361.02979999999997,1
S,361.92719999999997,1
S,369.3671,1
S,379.02139999999997,1
P,380.67150000000004,1
S,380.9593,1
S,382.3508,1
S,382.3891,1
S,383.38649999999996,1
S,383.4368,1
S,383.9779,1
S,384.1074,1
S,384.3988,1
S,401.8106,1
P,403.07550000000003,1
P,403.3068,1
P,403.4485,1
S,403.5729,1
P,404.1357,1
S,404.87469999999996,1
S,405.5548,1
S,405.8936,1
S,406.1737,1
S,406.353,1
S,407.028,1
S,407.9241,1
S,407.9415,1
S,408.2945,1
S,408.3634,1
S,423.51540000000006,1
S,423.53000000000003,1
S,425.76689999999996,1
S,426.5928,1
S,428.11,1
S,432.6633,2
S,441.4887,1
S,445.15749999999997,1
S,445.8263,1
S,446.2033,1
S,446.4679,1
S,449.8897,1
S,450.2223,1
S,475.40479999999997,1
S,476.23760000000004,1
S,476.5856,1
S,476.6426,1
S,478.34319999999997,1
S,482.3528,1
S,602.1787,1
