Line_type,Wavelength,Ionisation_State
P,201.5109,2
P,202.03140000000002,2
P,203.8452,2
P,204.5973,2
P,208.1681,2
P,208.952,2
P,209.25,2
P,209.311,2
P,210.084,2
S,210.429,2
S,210.802,2
S,226.969,2
S,253.846,2
S,254.267,2
S,254.8225,1
S,257.23449999999997,1
S,259.371,2
S,260.28000000000003,2
S,261.3084,1
S,261.6786,1
S,262.985,1
S,263.66700000000003,2
S,263.8761,2
S,264.09839999999997,1
S,264.4348,2
S,264.6486,2
S,264.9458,1
S,265.3347,2
S,265.50210000000004,1
S,265.8111,1
S,266.0576,2
S,267.2843,2
S,267.327,2
S,267.98539999999997,1
S,268.3234,2
S,268.414,2
S,268.79920000000004,2
S,270.14160000000004,2
S,271.735,2
S,273.288,2
S,274.63,2
S,275.1468,1
S,276.36199999999997,2
S,276.976,2
P,277.5402,2
S,278.0037,2
S,278.49899999999997,2
S,280.7753,2
P,281.6158,2
S,281.744,2
P,284.8233,2
S,285.323,2
S,286.381,2
S,286.669,2
P,287.1512,2
S,287.90500000000003,2
S,289.0994,2
S,289.4451,2
S,290.307,2
S,290.9117,2
S,291.19169999999997,2
S,292.3392,2
S,293.0502,2
S,293.4298,2
S,295.60569999999996,2
S,296.3797,2
S,297.2611,2
S,304.1699,1
S,306.4274,1
S,306.504,2
S,307.43690000000004,1
S,308.5616,1
S,308.762,2
S,309.4663,1
S,310.1344,1
S,311.2119,1
S,312.2,2
P,313.2594,1
S,315.28200000000004,2
P,315.81669999999997,1
P,317.0344,1
S,318.3033,1
S,318.5104,1
P,319.3979,1
S,319.596,1
S,320.5217,1
S,320.5887,1
P,320.8838,1
S,321.5072,1
S,322.1734,1
S,322.8212,1
S,322.97950000000003,1
S,323.31419999999997,1
S,323.706,1
S,325.62080000000003,1
S,326.2626,1
S,326.4401,1
S,327.0899,1
S,328.5355,1
S,328.9011,1
S,329.082,1
S,330.5563,1
S,330.7125,1
S,332.3949,1
S,332.5674,1
S,332.73040000000003,1
S,334.473,1
S,334.7004,1
S,335.8118,1
S,336.3778,1
S,337.9965,1
S,338.2482,1
S,338.4609,1
S,340.4335,1
S,340.594,1
S,343.4788,1
S,343.5448,1
S,343.72130000000004,1
P,344.7124,1
S,344.9074,1
S,345.175,1
S,345.6386,1
S,346.07779999999997,1
S,346.68240000000003,1
S,346.9219,1
S,350.4411,1
S,350.8114,1
S,352.1413,1
S,353.728,1
S,354.2166,1
S,355.80949999999996,1
S,356.3136,1
S,356.6052,1
S,357.3878,1
S,358.18850000000003,1
S,360.29380000000003,1
S,362.4462,1
S,362.618,1
S,363.543,1
S,365.7357,1
S,366.4811,1
S,367.28069999999997,1
S,368.059,1
S,369.4939,1
S,372.7679,1
S,373.2709,1
S,377.0445,1
S,378.1592,1
P,379.8252,1
S,380.184,1
S,382.6694,1
S,382.8876,1
S,383.37469999999996,1
S,384.7246,1
P,386.4104,1
S,386.90819999999997,1
S,388.6822,1
S,390.177,1
P,390.2953,1
S,405.6012,1
S,406.20770000000005,1
P,406.9882,1
S,408.144,1
S,408.4373,1
S,410.74620000000004,1
S,412.0093,1
S,414.355,1
S,418.5819,1
P,418.83239999999995,1
S,423.2589,1
S,426.9279,1
S,427.6906,1
S,427.72389999999996,1
S,428.86310000000003,1
S,429.2134,1
S,429.3215,1
S,429.38800000000003,1
S,432.6137,1
S,438.163,1
P,441.16949999999997,1
S,443.4949,1
S,444.97380000000004,1
S,445.7354,1
S,447.457,1
S,453.67960000000005,1
S,460.9874,1
S,462.64639999999997,1
S,470.72479999999996,1
S,473.1441,1
S,476.0183,1
S,481.9249,1
S,483.05129999999997,1
S,486.8018,1
S,523.8206,1
S,536.0513,1
P,550.6494,1
P,553.3031,1
P,557.0444,1
S,563.2463,1
S,568.9146,1
S,575.1409,1
S,579.1839,1
S,585.8267,1
S,588.831,1
S,603.0645000000001,1
