Line_type,Wavelength,Ionisation_State
S,395.585,2
P,399.5,2
S,404.131,2
S,424.178,2
P,444.703,2
S,460.14799999999997,2
S,460.716,2
S,462.139,2
P,463.054,2
S,464.308,2
S,480.329,2
S,496.39799999999997,1
S,499.436,2
S,500.14799999999997,2
P,500.515,2
S,500.73199999999997,2
S,501.062,2
S,504.51000000000005,2
S,566.663,2
S,567.6020000000001,2
P,567.956,2
S,568.621,2
S,571.077,2
S,575.25,1
S,593.178,2
P,594.165,2
P,648.205,2
S,648.27,1
P,661.056,2
S,742.364,1
P,744.229,1
P,746.831,1
S,818.487,1
S,818.802,1
S,821.634,1
S,822.314,1
S,824.2389999999999,1
S,843.874,2
S,856.774,1
S,859.4,1
S,862.924,1
S,865.5889999999999,1
P,868.028,1
P,868.3399999999999,1
S,868.615,1
S,870.325,1
S,871.1700000000001,1
S,871.883,1
S,938.68,1
S,939.2790000000001,1
S,1011.2479999999999,1
S,1011.4639999999999,1
S,1218.682,1
P,1246.962,1
S,1342.961,1
P,1358.133,1
