Line_type,Wavelength,Ionisation_State
S,231.565,2
S,242.099,2
S,242.473,2
S,249.315,2
S,251.546,2
S,253.154,2
S,258.631,2
S,259.496,2
S,261.181,2
S,266.1,2
S,267.183,2
S,267.809,2
S,268.034,1
S,268.043,1
S,280.952,2
S,283.956,2
S,284.17199999999997,2
P,285.281,1
P,285.30100000000004,1
S,285.94899999999996,2
S,287.12800000000004,2
S,288.115,2
S,288.62600000000003,2
S,290.114,2
S,290.472,2
S,290.492,2
S,291.752,2
S,291.90500000000003,2
S,291.985,2
S,292.09499999999997,2
S,292.349,2
S,293.774,2
S,294.75,2
S,295.12399999999997,2
S,295.24,2
S,297.713,2
S,297.966,2
S,298.063,2
S,298.419,2
S,300.415,2
S,300.744,2
S,300.914,2
S,301.54,2
S,305.367,2
S,305.616,2
S,306.025,2
S,306.135,2
P,309.273,2
S,309.445,2
S,309.555,2
S,312.442,2
S,313.548,2
S,313.786,2
S,314.571,2
S,314.928,2
S,316.37399999999997,2
S,317.906,2
S,318.979,2
S,321.219,2
S,325.796,2
S,327.42199999999997,2
P,328.56,2
S,330.135,2
P,330.23699999999997,1
P,330.298,1
S,330.496,2
S,331.804,2
S,332.769,2
S,342.68600000000004,1
S,353.305,2
S,363.127,2
S,371.107,2
S,411.37,2
S,432.462,1
S,439.003,1
S,439.28100000000006,2
S,439.334,1
S,440.512,2
S,445.52299999999997,2
S,449.087,2
S,449.418,1
S,449.76599999999996,1
S,466.48109999999997,1
S,466.85600000000005,1
S,497.8541,1
S,498.2813,1
S,514.8838,1
S,515.3402,1
S,541.455,2
S,568.2633,1
S,568.8193,1
S,568.8205,1
P,588.995,1
P,589.5924,1
S,615.4225,1
S,616.0747,1
S,651.421,2
S,653.0699999999999,2
S,654.404,2
S,654.575,2
S,780.978,1
P,818.3256,1
P,819.479,1
P,819.4824000000001,1
S,864.992,1
S,865.0889999999999,1
S,915.3879999999999,1
S,946.594,1
S,996.128,1
S,1057.228,1
S,1074.644,1
S,1074.929,1
S,1083.487,1
S,1119.721,1
P,1138.145,1
P,1140.3780000000002,1
S,1267.917,1
S,1476.748,1
S,1477.973,1
S,1637.385,1
S,1638.8849999999998,1
P,1846.525,1
S,2205.644,1
S,2334.841,1
S,2337.913,1
