Line_type,Wavelength,Ionisation_State
P,202.93423,2
P,203.30102,2
P,210.94384,2
S,212.52164,2
S,212.65497999999997,2
S,213.11831999999998,2
S,229.56799999999998,2
S,254.4806,2
S,258.3987,2
S,259.09430000000003,2
S,259.21999999999997,1
S,264.6254,2
S,264.75,1
S,265.445,1
P,269.706,2
S,269.886,2
S,270.2194,2
P,271.6622,2
P,272.1981,2
S,275.861,1
S,277.32,1
S,286.8515,2
P,287.539,2
S,287.7038,2
P,288.3174,2
S,289.7806,2
S,290.82399999999996,2
S,291.0587,2
S,291.1743,2
P,292.78139999999996,2
S,294.15430000000003,2
P,295.08820000000003,2
S,297.2571,2
S,297.4094,2
S,299.02779999999996,2
S,299.4728,2
S,302.844,2
S,307.68649999999997,2
P,309.4176,2
P,313.07820000000004,2
S,314.5403,2
P,316.3401,2
S,318.0285,2
P,319.4975,2
S,321.5593,2
P,322.5467,2
S,323.64099999999996,2
S,325.40659999999997,2
S,329.601,1
S,331.26,1
P,334.197,1
P,334.371,1
P,334.906,1
S,334.952,1
S,335.474,1
P,335.842,1
S,336.696,1
S,337.492,1
S,338.041,1
S,339.23400000000004,1
S,340.838,1
S,347.869,1
S,349.863,1
S,350.796,1
P,353.53000000000003,1
S,353.748,1
S,354.402,1
S,355.04499999999996,1
S,355.466,1
S,356.35,1
S,356.36199999999997,1
P,357.585,1
P,358.027,1
S,358.49699999999996,1
S,358.911,1
S,358.93600000000004,1
S,359.397,1
S,360.256,1
S,364.985,1
S,365.1182,2
S,366.037,1
S,366.46999999999997,1
S,367.478,1
S,369.78499999999997,1
S,371.134,1
S,371.30100000000004,1
S,371.69899999999996,1
S,372.62399999999997,1
S,373.842,1
P,373.98,1
S,374.0714,2
S,374.178,1
S,374.239,1
S,376.349,1
S,376.508,1
S,377.185,1
S,378.101,1
S,378.706,1
S,379.015,1
S,379.121,1
S,379.812,1
S,380.13,1
S,380.29200000000003,1
S,380.38800000000003,1
S,380.474,1
S,381.049,1
S,381.103,1
S,381.55100000000004,1
S,382.488,1
S,383.518,1
S,385.895,1
S,386.338,1
S,386.79200000000003,1
S,387.756,1
S,387.882,1
S,388.31399999999996,1
S,388.544,1
S,388.568,1
S,389.13,1
S,391.46999999999997,1
S,392.02,1
S,393.744,1
S,394.367,1
S,396.60900000000004,1
S,403.252,1
P,405.894,1
S,406.079,1
P,407.973,1
S,408.486,1
S,410.03999999999996,1
P,410.092,1
S,411.68999999999994,1
P,412.38100000000003,1
S,412.94300000000004,1
S,412.99300000000005,1
S,413.71000000000004,1
S,413.94399999999996,1
S,413.971,1
S,414.321,1
S,415.012,1
P,415.258,1
S,416.34700000000004,1
P,416.366,1
P,416.466,1
P,416.813,1
S,418.44399999999996,1
S,419.088,1
S,419.207,1
S,419.509,1
S,419.566,1
S,419.851,1
S,420.15200000000004,1
S,420.53100000000006,1
S,421.47299999999996,1
S,421.794,1
S,422.91499999999996,1
S,426.20500000000004,1
S,426.60200000000003,1
S,427.06899999999996,1
S,428.69899999999996,1
S,429.96000000000004,1
S,430.099,1
S,431.12700000000007,1
S,432.633,1
S,433.137,1
S,435.157,1
S,441.021,1
S,444.718,1
S,452.341,1
S,454.68199999999996,1
S,456.453,1
S,457.308,1
S,458.162,1
S,460.677,1
S,463.01099999999997,1
S,464.895,1
S,466.383,1
S,466.62399999999997,1
S,467.209,1
S,467.537,1
S,468.514,1
S,507.896,1
S,509.53000000000003,1
S,516.033,1
S,516.438,1
S,527.153,1
S,531.86,1
S,534.417,1
S,535.074,1
S,666.0840000000001,1
