Line_type,Wavelength,Ionisation_State
S,348.488,1
S,366.518,2
S,367.236,2
S,367.354,2
S,368.58000000000004,2
S,371.473,2
S,372.35,2
S,372.813,2
S,373.554,2
S,373.806,2
S,375.24899999999997,2
S,375.78200000000004,2
S,375.895,2
S,376.347,2
S,376.96500000000003,2
S,377.55,2
S,377.947,2
S,378.04,2
S,378.132,2
P,378.425,2
S,380.347,2
P,380.536,2
S,380.877,2
S,381.049,2
S,381.473,2
S,382.642,2
S,382.885,2
S,383.04699999999997,2
S,383.654,2
S,383.898,2
S,384.82399999999996,2
S,384.831,2
S,384.852,2
P,385.166,2
P,385.174,2
P,386.33299999999997,2
P,386.34000000000003,2
S,386.90700000000004,2
S,387.858,2
S,387.95500000000004,2
S,388.038,2
S,388.07800000000003,2
S,388.787,2
S,388.993,2
S,389.058,2
S,389.094,2
S,389.151,2
S,389.463,2
P,390.021,2
S,390.184,2
S,390.589,2
S,390.784,2
P,391.116,2
S,391.223,2
S,391.59499999999997,2
S,392.096,2
S,392.71,2
S,393.482,2
S,393.886,2
P,394.151,2
P,395.116,2
S,395.21999999999997,2
S,395.8,2
S,396.221,2
S,396.312,2
S,397.33000000000004,2
S,397.369,2
S,397.685,2
S,397.94899999999996,2
S,399.01,2
S,399.174,2
S,399.46799999999996,2
S,400.402,2
P,401.225,2
S,401.27,2
S,402.087,2
S,402.134,2
S,402.178,2
S,402.3,2
S,403.182,2
P,404.08000000000004,2
S,405.115,2
S,405.996,2
P,406.10900000000004,2
S,406.928,2
S,407.512,2
S,410.908,2
P,410.946,2
S,411.04799999999994,2
S,413.533,2
P,415.608,2
S,415.62600000000003,2
S,417.561,2
P,417.73199999999997,2
S,417.959,2
S,423.238,2
P,424.738,2
S,425.24399999999997,2
S,428.45200000000006,2
P,430.358,2
S,432.576,2
S,432.793,2
S,433.87,2
S,435.129,2
S,435.817,2
S,438.566,2
S,440.08299999999997,2
S,441.10600000000005,2
S,444.639,2
S,445.157,2
S,446.299,2
S,452.725,1
S,455.967,1
S,458.662,1
S,460.38199999999995,1
S,460.98699999999997,1
P,462.19399999999996,1
S,462.79799999999994,1
P,463.424,1
P,464.11,1
S,464.64,1
P,464.967,1
S,465.47299999999996,1
P,468.34499999999997,1
S,468.404,1
S,469.035,1
S,469.64399999999995,1
S,470.696,1
P,471.90200000000004,1
S,473.177,1
S,477.946,1
S,486.674,1
P,488.38100000000003,1
S,489.10699999999997,1
P,489.69300000000004,1
S,490.15299999999996,1
S,490.184,1
S,491.341,1
P,492.453,1
P,494.483,1
P,495.47799999999995,1
S,513.0600000000001,2
S,519.145,2
S,519.262,2
S,521.323,1
S,524.9590000000001,2
S,527.3430000000001,2
S,529.167,1
S,529.317,2
S,531.982,2
S,562.054,1
S,567.597,1
S,572.929,1
