Line_type,Wavelength,Ionisation_State
S,200.7009,2
S,202.55599999999998,2
S,208.54659999999998,2
S,209.61060000000003,2
S,209.6248,2
S,256.2123,2
S,256.7121,2
S,262.3107,2
S,262.98850000000004,2
S,263.6069,2
S,263.82890000000003,2
S,264.40970000000004,2
S,276.2921,2
S,279.20189999999997,2
S,279.4221,2
S,280.9485,2
S,290.6592,2
S,290.6816,2
S,291.0061,2
S,291.0408,2
S,291.11379999999997,2
S,291.5122,2
S,292.5618,2
S,293.2103,2
S,294.0653,2
S,294.6044,2
S,295.5725,2
S,296.3236,2
S,296.71840000000003,2
S,297.2997,2
S,297.47189,1
S,297.9461,2
S,298.26696000000004,1
S,300.1668,2
S,301.7311,2
P,302.7016,2
P,302.8864,2
S,303.07869999999997,2
S,303.4461,2
S,303.59229999999997,2
S,303.772,2
S,303.9586,2
S,304.40880000000004,2
S,304.5556,2
S,304.7556,2
S,305.43449999999996,2
S,305.46770000000004,2
S,305.73906999999997,1
S,305.91060000000004,2
S,306.2491,2
S,306.3301,2
S,307.0887,2
S,307.1529,2
S,307.5731,2
S,308.8166,2
S,309.2092,2
S,309.2901,2
S,309.4006,2
S,309.51030000000003,2
S,309.7131,2
S,311.798,2
S,311.816,2
S,314.1332,2
S,314.3721,2
S,314.8681,2
S,316.4429,2
S,316.5648,2
S,318.8743,2
S,319.4579,2
P,319.85859999999997,2
S,320.8965,2
S,320.9356,2
S,321.37350000000004,2
S,321.4329,2
S,321.8193,2
S,322.4818,2
S,322.9573,2
S,323.007,2
S,323.0419,2
S,323.2022,2
S,323.2372,2
S,324.3396,2
S,324.4095,2
S,324.8345,2
S,325.0355,2
S,329.7726,2
S,330.974,2
S,331.97220000000004,2
P,332.3745,2
S,332.71529999999996,2
S,332.9158,2
S,333.48359999999997,2
S,334.4395,2
S,334.5453,2
S,334.5829,2
S,335.5016,2
S,335.78200000000004,2
S,336.0597,2
S,336.2161,2
S,336.2707,2
S,336.7218,2
S,336.98076000000003,1
S,336.99072,1
S,337.1799,2
P,337.8216,2
S,338.8417,2
S,338.8945,2
S,339.27979999999997,2
S,340.48220000000003,2
S,340.6947,2
S,341.3148,2
S,341.69140000000004,2
S,341.7688,2
S,341.79031,1
S,341.80055000000004,1
S,342.8687,2
S,344.77024,1
S,345.41944,1
S,345.661,2
S,345.9321,2
S,346.05237,1
S,346.43382,1
S,346.65781000000004,1
S,347.25706,1
S,347.95189999999997,2
S,348.0718,2
S,348.1933,2
S,349.80636,1
S,350.12159,1
S,351.51902,1
P,352.04711000000003,1
S,354.28470000000004,2
S,355.78049999999996,2
S,356.1198,2
S,356.8502,2
S,357.4181,2
S,357.4612,2
S,359.35257,1
S,359.36388999999997,1
S,360.01685000000003,1
S,363.3664,1
S,364.3927,2
S,366.40729999999996,2
S,368.22420999999997,1
S,368.57352000000003,1
S,369.42130000000003,2
S,370.12244,1
S,370.9622,2
S,371.3079,2
S,372.7107,2
P,376.6259,2
P,377.7133,2
S,381.84270000000004,2
S,382.9749,2
S,421.9745,2
S,423.38500000000005,2
S,425.0649,2
S,436.9862,2
S,437.93999999999994,2
S,437.95500000000004,2
S,438.5059,2
S,439.1991,2
S,439.799,2
S,440.9299,2
S,441.3215,2
S,442.13890000000004,2
S,442.85159999999996,2
S,442.8634,2
S,443.09040000000005,2
S,443.0942,2
S,445.7049,2
S,452.27200000000005,2
S,453.77545,1
S,456.90569999999997,2
S,470.43949000000003,1
S,470.88594,1
S,471.00649999999996,1
S,471.20633,1
S,471.5344,1
S,475.2732,1
