Line_type,Wavelength,Ionisation_State
P,216.5553,2
S,216.9096,2
P,217.46660000000003,2
S,217.5147,2
S,218.0473,2
S,218.4605,2
P,218.5504,2
P,219.209,2
S,220.14090000000002,2
P,220.55479999999997,2
P,220.6715,2
P,221.6482,2
S,222.0402,2
S,222.29569999999998,2
S,226.44609999999997,2
P,227.0214,2
S,227.72820000000002,2
S,227.877,2
S,228.9987,1
S,230.0781,1
S,230.2996,2
P,231.09609999999998,1
S,231.2344,1
S,231.3656,1
S,231.3983,1
P,231.6039,2
S,231.7165,1
P,232.0034,1
S,232.1383,1
S,232.58020000000002,1
S,232.99699999999999,1
S,233.7488,1
P,234.5543,1
S,234.75140000000002,1
S,237.54180000000002,2
S,239.45189999999997,2
S,241.6134,2
S,294.39119999999997,1
S,298.1646,1
S,299.2592,1
S,299.4453,1
P,300.24850000000004,1
S,300.3621,1
P,301.2001,1
S,301.9143,1
S,303.79319999999996,1
P,305.0816,1
S,305.4312,1
S,305.76390000000004,1
S,306.4618,1
S,308.0752,1
P,310.15569999999997,1
S,310.18780000000004,1
P,313.4104,1
S,323.2933,1
S,324.3054,1
S,329.76,2
S,331.5663,1
S,332.0259,1
S,332.2309,1
S,333.1875,2
S,335.8676,2
S,336.1554,1
S,336.5765,1
S,336.6166,1
S,336.9566,1
S,337.19870000000003,1
S,338.057,1
S,339.1043,1
S,339.29859999999996,1
S,341.3476,1
S,341.3936,1
P,341.4764,1
S,342.37080000000003,1
S,343.3556,1
S,343.7278,1
P,344.6259,1
S,345.2889,1
P,345.846,1
P,346.1652,1
S,347.2545,1
S,348.3777,1
P,349.29560000000004,1
S,350.0851,1
S,351.0335,1
P,351.5052,1
S,351.9765,1
P,352.4536,1
S,354.8182,1
P,356.6372,1
S,357.1864,1
S,359.7703,1
S,361.0462,1
S,361.274,1
P,361.9391,1
S,377.5571,1
S,378.353,1
S,380.71439999999996,1
S,385.8297,1
S,499.2024,2
S,809.675,2
S,812.1479999999999,2
