Line_type,Wavelength,Ionisation_State
P,348.193,NpI
P,350.15,NpI
P,398.68899999999996,NpI
P,504.466,NpI
P,538.098,NpII
P,587.804,NpI
P,693.0310000000001,NpI
P,697.2090000000001,NpI
P,773.514,NpI
P,776.575,NpI
P,779.138,NpI
P,833.912,NpI
P,837.2879999999999,NpI
P,852.9959999999999,NpI
S,869.6229999999999,NpI
S,890.6020000000001,NpI
S,894.2700000000001,NpI
S,900.475,NpI
S,900.631,NpI
P,901.618,NpI
S,914.1299999999999,NpI
P,937.933,NpI
P,946.866,NpI
S,967.9129999999999,NpI
S,993.055,NpI
P,1009.199,NpI
P,1081.7450000000001,NpI
S,1169.5149999999999,NpI
P,1177.664,NpI
S,1214.818,NpI
P,1237.742,NpI
S,1240.799,NpI
S,1383.433,NpI
