Line_type,Wavelength,Ionisation_State
S,244.5538,2
S,273.32890000000003,2
S,297.229,1
P,313.472,2
S,313.8335,2
S,328.7472,2
S,339.0209,2
S,347.06759999999997,2
S,372.732,2
S,374.9486,2
P,391.1957,2
S,394.729,1
S,394.748,1
S,394.759,1
P,397.32561999999996,2
S,398.27139999999997,2
S,407.2157,2
P,407.5862,2
S,411.92150000000004,2
S,418.5449,2
S,418.97889999999995,2
S,431.7138,2
S,434.9426,2
P,441.4905,2
S,441.6974,2
S,459.0972,2
S,459.6175,2
P,464.18100000000004,2
P,464.9135,2
S,466.1633,2
S,467.6235,2
S,470.5352,2
S,615.598,1
S,615.677,1
S,615.818,1
S,645.598,1
S,700.223,1
S,725.415,1
S,725.4449999999999,1
P,777.194,1
P,777.417,1
P,777.539,1
S,822.182,1
P,844.625,1
P,844.6360000000001,1
P,844.676,1
S,926.0809999999999,1
S,926.0840000000001,1
S,926.094,1
S,926.258,1
S,926.267,1
S,926.277,1
S,926.594,1
P,926.601,1
S,1128.634,1
S,1128.691,1
S,1128.702,1
S,1128.732,1
S,1129.51,1
S,1129.768,1
S,1130.2379999999998,1
S,1246.402,1
S,1257.0040000000001,1
P,1316.389,1
P,1316.4850000000001,1
S,1316.511,1
S,1802.1209999999999,1
S,1824.363,1
