Line_type,Wavelength,Ionisation_State
S,200.145,1.0
S,200.373,1.0
S,200.481,1.0
S,201.01500000000001,1.0
P,201.81400000000002,1.0
S,202.026,
S,202.276,1.0
S,202.823,1.0
P,203.44400000000002,1.0
P,204.536,1.0
S,205.869,1.0
S,205.87800000000001,1.0
S,206.169,1.0
P,206.721,2.0
P,207.067,2.0
S,207.695,1.0
S,207.80900000000003,
P,207.99699999999999,1.0
S,208.254,1.0
S,208.90300000000002,1.0
S,208.921,1.0
S,209.76,1.0
S,210.06300000000002,1.0
S,211.766,1.0
S,211.796,1.0
S,211.97899999999998,
S,212.38400000000001,1.0
S,213.711,1.0
S,214.99699999999999,
S,215.459,1.0
S,215.78400000000002,1.0
S,215.853,1.0
S,216.1,
S,216.69,1.0
S,216.775,1.0
S,217.16500000000002,1.0
S,218.468,1.0
P,219.439,2.0
S,223.461,1.0
S,225.215,1.0
P,225.58499999999998,2.0
S,226.45999999999998,1.0
S,227.017,1.0
P,228.22600000000003,2.0
S,228.36700000000002,1.0
S,230.831,1.0
S,231.375,2.0
P,233.68,2.0
S,235.023,2.0
S,235.52800000000002,2.0
S,236.277,1.0
P,236.73499999999999,2.0
S,237.506,2.0
S,237.70300000000003,1.0
S,237.939,1.0
S,238.72899999999998,1.0
S,239.58800000000002,1.0
S,240.113,1.0
S,240.50799999999998,2.0
S,242.002,2.0
S,242.30700000000002,2.0
S,242.49699999999999,1.0
S,245.07399999999998,1.0
S,245.49099999999999,2.0
S,246.142,1.0
S,246.89000000000001,2.0
S,247.68400000000003,1.0
P,248.62399999999997,2.0
S,249.84099999999998,1.0
S,251.28699999999998,1.0
S,251.325,1.0
S,251.504,1.0
S,251.844,1.0
P,253.8,2.0
S,254.25100000000003,1.0
S,256.316,2.0
S,256.649,1.0
S,257.832,2.0
S,258.00300000000004,2.0
S,258.196,1.0
S,259.076,1.0
S,259.6,2.0
S,261.306,1.0
S,261.994,1.0
S,262.182,1.0
P,263.713,1.0
S,264.411,1.0
S,265.86,1.0
S,265.983,1.0
S,267.457,1.0
S,268.982,1.0
S,269.959,1.0
S,270.66999999999996,1.0
P,271.464,1.0
S,271.536,1.0
S,272.004,1.0
S,272.18600000000004,1.0
S,273.06100000000004,1.0
S,273.28000000000003,1.0
S,276.142,1.0
S,277.071,1.0
S,278.255,1.0
S,278.631,1.0
S,279.673,1.0
P,280.691,1.0
S,281.41999999999996,1.0
P,283.863,1.0
S,284.15999999999997,1.0
S,284.44,1.0
S,285.076,1.0
S,286.096,1.0
P,290.906,1.0
S,291.233,1.0
S,291.726,1.0
S,291.979,1.0
S,293.12800000000004,1.0
S,294.823,1.0
S,294.95300000000003,1.0
S,296.21500000000003,1.0
S,297.097,1.0
S,298.29,1.0
S,301.725,1.0
P,301.804,1.0
S,303.07,1.0
S,304.09000000000003,1.0
S,304.274,2.0
P,305.866,1.0
S,306.219,1.0
S,307.772,1.0
S,310.938,1.0
S,315.625,1.0
S,317.393,2.0
S,321.331,2.0
S,323.206,1.0
P,326.229,1.0
P,326.794,1.0
S,326.921,1.0
S,327.52,1.0
S,329.026,1.0
P,330.156,1.0
S,331.091,1.0
S,333.615,1.0
S,337.059,1.0
S,338.784,1.0
S,340.18600000000004,1.0
S,350.466,1.0
S,352.86,1.0
S,355.979,1.0
S,356.086,1.0
S,359.81100000000004,1.0
S,360.448,2.0
S,375.252,1.0
P,378.21999999999997,1.0
S,379.014,1.0
S,387.677,1.0
S,396.363,1.0
S,397.723,1.0
S,406.669,1.0
S,411.20200000000006,1.0
S,413.578,1.0
S,417.323,1.0
S,417.563,1.0
S,421.186,1.0
P,426.08500000000004,1.0
S,429.395,1.0
S,431.14,1.0
S,439.486,1.0
P,442.047,1.0
S,455.041,1.0
S,479.399,1.0
S,520.263,1.0
S,552.353,1.0
S,572.193,1.0
S,578.082,1.0
