Line_type,Wavelength,Ionisation_State
S,203.2432,1
S,203.3477,1
P,213.5465,1
P,213.61820000000003,1
P,214.9145,1
P,215.294,1
P,215.408,1
P,253.39870000000002,1
P,253.56060000000002,1
P,255.32529999999997,1
S,255.4904,1
S,442.071,2
P,458.804,2
P,458.986,2
P,460.20799999999997,2
S,494.35299999999995,2
S,529.613,2
S,542.591,2
S,545.074,2
P,602.418,2
S,603.404,2
P,604.312,2
S,608.7819999999999,2
S,616.559,2
S,619.9024000000001,1
P,645.999,2
P,650.346,2
P,650.797,2
S,874.1529,1
S,919.385,1
S,927.8879999999999,1
S,930.494,1
S,932.35,1
S,943.5069,1
S,944.186,1
S,945.283,1
S,949.356,1
P,952.573,1
P,954.518,1
P,956.3439000000001,1
S,960.9040000000001,1
S,963.8939,1
S,967.624,1
P,973.475,1
P,975.077,1
S,979.021,1
P,979.6850000000001,1
S,990.368,1
S,1052.952,1
S,1058.157,1
S,1118.3229999999999,1
S,1424.164,1
S,1571.152,1
S,1648.292,1
S,1659.007,1
