Line_type,Wavelength,Ionisation_State
S,249.285,2
S,259.916,2
S,269.92199999999997,2
S,282.2792,2
S,283.214,2
S,287.0005,2
S,287.1413,2
S,289.1139,2
S,290.693,2
S,301.11,2
S,303.35900000000004,2
S,307.12399999999997,2
S,309.323,2
S,312.623,2
S,314.62800000000004,2
S,317.089,2
S,317.154,2
S,324.058,2
S,327.446,2
S,333.269,2
S,334.66610000000003,2
S,339.44899999999996,2
S,345.28200000000004,2
S,350.49699999999996,1
S,353.065,2
S,357.056,1
S,357.182,1
S,361.807,1
P,363.652,1
S,370.274,1
S,375.267,1
S,387.335,1
S,393.183,1
S,395.262,2
P,395.78499999999997,2
S,397.007,2
S,398.182,1
P,398.223,1
S,401.296,2
S,401.821,2
S,403.01599999999996,2
S,404.693,2
P,405.62,2
P,407.04,2
S,411.762,1
S,417.61800000000005,2
P,421.72299999999996,2
P,424.8083,2
S,429.1345,2
S,440.07700000000006,1
S,443.613,1
S,460.14300000000003,2
S,462.81899999999996,1
S,482.034,1
S,486.149,1
S,603.578,1
S,616.2560000000001,1
S,621.635,1
S,635.861,1
S,637.925,1
S,643.897,1
S,679.275,1
P,694.572,1
S,696.009,1
S,696.178,1
S,699.2729999999999,1
S,707.6270000000001,1
S,710.0939999999999,1
P,711.489,1
S,717.155,1
S,722.713,1
S,731.879,1
P,736.825,1
S,747.1890000000001,1
P,749.3149999999999,1
S,755.826,1
P,760.8199999999999,1
P,762.679,1
P,763.518,1
P,766.934,1
S,767.92,1
P,774.919,1
S,787.295,1
S,794.556,1
P,803.934,1
P,809.984,1
P,819.9040000000001,1
P,827.1870000000001,1
S,835.8979999999999,1
S,836.96,1
S,844.104,1
P,853.266,1
P,857.2959999999999,1
S,863.991,1
S,865.351,1
P,873.527,1
S,1059.4379999999999,1
S,1092.3319999999999,1
S,1164.678,1
P,1179.173,1
S,1227.901,1
S,1323.409,1
P,1352.24,1
P,1434.476,1
S,1847.861,1
