Line_type,Wavelength,Ionisation_State
P,202.2016,1
P,205.32840000000002,1
S,217.00050000000002,1
P,220.35340000000002,2
S,239.3792,1
S,240.19400000000002,1
S,241.1734,1
S,261.3655,1
S,261.4175,1
S,266.3154,1
S,280.1995,1
S,282.3189,1
S,283.3053,1
S,287.3311,1
S,301.63870000000003,2
S,322.0528,1
S,324.0186,1
S,326.2355,1
S,357.2729,1
S,363.95680000000004,1
S,367.1491,1
S,368.3462,1
S,371.3982,2
P,373.9935,1
S,401.96320000000003,1
P,405.78069999999997,1
P,406.2136,1
S,415.282,2
S,416.80330000000004,1
S,424.492,2
S,435.274,2
S,438.646,2
S,457.90510000000006,2
S,458.22700000000003,2
S,500.5416,1
P,504.258,2
S,507.058,2
S,507.453,2
S,511.16400000000004,2
S,520.1437,1
S,536.764,2
S,537.2099000000001,2
S,554.425,2
S,560.885,2
S,589.5624,1
S,600.1862,1
P,607.574,2
P,608.1409,2
S,615.989,2
S,666.02,2
S,719.36,2
S,722.8965000000001,1
S,755.897,2
S,763.2560000000001,2
S,839.568,2
S,905.082,2
S,906.3430000000001,2
S,1029.0458,1
S,1049.8965,1
