Line_type,Wavelength,Ionisation_State
P,223.15907,2
P,229.65164,2
P,235.13469,2
S,236.05340999999999,2
P,236.79663999999997,2
P,244.61888,2
P,244.79058,1
S,246.92516999999998,2
P,247.64127,1
P,248.65259999999998,2
P,248.89146,2
P,249.87768999999997,2
S,250.57292999999999,2
S,255.18452000000002,2
S,256.55045,2
S,265.87201,2
P,276.30899,1
S,277.66595,2
P,285.45776,2
S,311.4038,1
P,324.26983,1
S,325.16361,1
S,325.87765,1
S,330.21262,1
S,337.29943,1
P,340.45763999999997,1
P,342.12214,1
S,343.34278,1
S,344.13896,1
P,346.07381,1
P,348.11516,1
S,348.977,1
P,351.69438,1
P,355.30803000000003,1
S,357.11489,1
P,360.95547,1
P,363.46884,1
S,369.03368,1
S,389.41988000000003,1
S,421.29537,1
