Line_type,Wavelength,Ionisation_State
S,307.241,2
S,342.74,2
S,344.98,2
S,363.41999999999996,2
S,365.93899999999996,2
S,368.979,2
S,369.25,2
S,369.75,2
S,370.26300000000003,2
S,371.17199999999997,2
S,372.601,1
S,374.252,2
S,374.586,2
S,374.709,2
S,375.009,2
S,379.566,2
S,382.053,2
S,384.298,2
S,387.762,2
P,389.21500000000003,2
S,389.978,2
P,391.026,2
P,391.90999999999997,2
P,393.648,2
S,394.421,2
P,395.774,2
S,398.07399999999996,2
S,399.505,2
P,399.896,2
S,400.996,2
S,405.154,2
S,405.52,2
P,407.584,2
P,408.61,2
S,419.29200000000003,2
P,429.77799999999996,2
S,433.654,2
S,434.212,2
S,436.96400000000006,1
S,438.849,1
S,441.247,1
P,441.796,2
S,443.25100000000003,2
S,444.541,2
S,444.68999999999994,2
P,445.395,2
S,447.323,2
S,448.16,1
S,450.015,2
S,452.52,2
S,452.77,1
P,452.921,2
S,457.52700000000004,1
S,459.755,1
S,460.025,1
S,460.566,1
S,460.985,1
S,461.70200000000006,1
S,461.975,1
S,462.157,1
S,462.36800000000005,1
S,462.441,1
S,462.529,1
S,463.34499999999997,1
S,464.33599999999996,1
S,464.37600000000003,1
S,464.703,1
S,465.341,1
S,466.079,1
S,466.346,1
S,466.51899999999995,1
S,467.12299999999993,1
S,467.79200000000003,1
S,467.809,1
S,468.29200000000003,1
S,469.68,1
S,472.83599999999996,1
S,472.86800000000005,1
P,473.427,1
S,474.51300000000003,1
S,475.77299999999997,1
P,475.9,1
P,476.25699999999995,1
P,477.346,1
S,478.129,1
P,479.89799999999997,1
P,480.13599999999997,1
S,480.954,1
P,481.18500000000006,1
P,483.76599999999996,1
P,486.07399999999996,1
S,486.572,1
S,487.242,1
S,488.70200000000006,1
P,489.25200000000007,1
P,493.299,1
P,495.946,1
P,499.71000000000004,1
P,505.831,1
S,509.483,1
S,510.07700000000006,1
P,512.734,1
P,514.63,1
S,515.386,2
S,516.971,2
S,517.158,2
S,519.405,2
S,520.809,2
S,523.626,2
S,523.6659999999999,2
S,524.633,2
S,527.0640000000001,2
P,554.608,2
P,557.6020000000001,2
S,582.393,2
S,586.879,2
S,594.649,2
S,595.642,1
S,604.339,1
S,606.9060000000001,1
P,610.021,1
S,615.176,1
S,622.964,1
S,628.606,1
S,630.829,1
S,632.384,1
S,639.0310000000001,1
S,643.193,1
S,651.725,1
P,652.045,1
S,654.22,1
P,659.8149999999999,1
S,659.866,1
S,660.637,1
S,662.5229999999999,1
S,664.981,1
S,665.905,2
S,666.168,1
S,666.751,1
S,667.7470000000001,1
S,668.5550000000001,1
S,668.568,1
S,670.033,1
S,671.467,1
S,671.726,1
S,672.071,1
S,672.75,1
S,674.371,1
S,674.991,1
S,675.048,1
S,677.229,2
S,683.33,1
