Line_type,Wavelength,Ionisation_State
S,257.931,1
S,288.15999999999997,1
S,366.883,2
S,371.40500000000003,2
S,373.918,2
S,376.187,2
S,380.03000000000003,2
S,380.48400000000004,2
S,381.184,2
S,381.602,2
S,381.82800000000003,2
S,382.18,2
S,383.072,2
S,384.099,2
S,384.659,2
S,385.079,2
S,385.15500000000003,2
S,385.28000000000003,2
S,386.54499999999996,2
S,387.619,2
S,387.71799999999996,2
S,388.04699999999997,2
S,388.519,2
S,388.934,2
S,390.805,2
S,391.29,2
S,391.355,2
S,391.885,2
S,391.963,2
S,392.54699999999997,2
S,392.746,2
S,392.929,2
S,393.582,2
S,394.76300000000003,2
S,394.943,2
S,395.351,2
S,395.675,2
P,395.944,1
S,396.245,2
S,396.42600000000004,2
S,396.481,2
S,396.65700000000004,2
S,397.116,2
S,397.16700000000003,2
S,397.214,2
S,397.485,2
S,398.96799999999996,2
S,399.216,2
S,399.479,2
S,399.704,2
S,399.912,2
S,400.0173,2
S,400.47020000000003,2
S,400.8691,2
S,401.06010000000003,2
S,401.5391,2
S,402.096,2
S,402.2712,2
S,402.554,2
S,402.972,2
S,403.1753,2
S,403.3827,2
S,403.8455,2
S,403.9341,2
S,404.48130000000003,2
S,404.7082,2
S,405.113,2
S,405.486,2
S,405.65369999999996,2
S,405.88,2
P,406.2804,2
P,406.2806,2
S,407.977,2
S,408.098,2
S,408.185,2
S,408.3341,2
S,409.68199999999996,2
S,409.84,2
P,410.07169999999996,2
S,411.8457,2
S,413.0771,2
S,414.1224,2
P,414.3112,2
S,416.4156,2
S,417.1822,2
S,417.2246,2
P,417.93909999999994,2
P,418.9479,2
S,419.16049999999996,2
S,420.117,2
P,420.6719,2
S,420.83149999999995,2
S,421.1862,2
S,421.78100000000006,2
P,422.2931,2
P,422.53459999999995,2
S,423.31139999999994,2
S,423.61530000000005,2
S,424.101,2
S,424.35069999999996,2
S,424.7631,2
S,425.4402,2
S,426.9093,2
S,427.2273,2
S,428.00699999999995,2
S,428.2456,2
S,429.8965,2
S,430.361,2
S,430.57640000000004,2
S,433.3973,2
S,433.8702,2
S,434.43,2
S,434.7491,2
S,435.03990000000005,2
S,435.491,2
S,435.9788,2
S,436.8334,2
S,437.162,2
S,440.5825,2
S,440.88199999999995,2
S,441.37700000000007,2
S,442.91279999999995,2
S,444.9826,2
S,446.86629999999997,2
S,449.6456,2
S,451.0153,2
S,453.41540000000003,2
S,453.59229999999997,2
S,463.22799999999995,1
S,463.56800000000004,1
P,463.95500000000004,1
P,468.78000000000003,1
P,469.57700000000006,1
S,470.95200000000006,1
P,473.067,1
P,473.669,1
S,474.416,1
S,490.69899999999996,1
S,491.40200000000004,1
P,492.46000000000004,1
S,493.6,1
P,493.974,1
S,494.03000000000003,1
P,495.137,1
S,497.575,1
S,501.85900000000004,1
P,501.976,1
P,502.696,1
S,503.338,1
S,504.383,1
P,504.552,1
S,505.34,1
P,508.712,1
S,511.0384,2
S,511.0763,2
S,512.9536,2
P,513.3439999999999,1
S,513.981,1
S,517.3905,2
S,519.443,1
S,520.6560999999999,2
S,521.9048,2
S,522.0108,2
S,522.797,1
S,525.9737,2
S,529.2024,2
S,529.262,2
S,532.2772,2
S,553.116,1
S,556.206,1
S,566.1569999999999,1
S,566.846,1
S,570.761,1
S,577.928,1
S,583.513,1
S,587.472,1
S,587.8100000000001,1
S,587.904,1
S,588.472,1
S,592.076,1
S,598.614,1
S,598.714,1
S,598.729,2
S,604.926,1
S,605.513,1
S,614.823,1
S,614.824,2
S,632.236,1
S,635.903,1
S,639.318,1
S,641.1229999999999,1
S,648.655,1
S,649.175,1
S,661.667,1
S,674.7090000000001,1
S,679.86,1
