Line_type,Wavelength,Ionisation_State
S,200.77572,2
S,201.4933,2
S,202.05434,1
S,203.06456,1
S,203.24256,1
S,203.57985000000002,1
P,203.64666,2
S,204.15751,2
S,204.91689000000002,2
S,204.93915,1
S,205.70265,2
S,206.07621,1
S,206.27943,1
S,206.75105,1
S,207.09443000000002,1
S,207.09443000000002,1
S,207.54004,2
S,208.4596,1
S,209.74478,2
S,210.15979000000002,2
S,210.16839,1
S,210.16839,1
S,210.33449000000002,1
S,210.37804,2
S,210.37804,2
S,210.96631000000002,1
S,211.55823,2
S,212.74231,2
S,212.85877999999997,1
S,212.8634,1
S,213.07079,2
S,213.51631000000003,1
S,214.42123,1
P,214.42458000000002,2
S,216.52107999999998,1
S,217.46853000000002,1
S,218.05041999999997,1
S,219.03216000000003,2
S,220.2223,1
S,220.24663999999999,2
S,220.95043,2
S,222.26134000000002,1
S,222.50093999999999,2
S,223.29725,2
S,223.49262,1
P,224.08964999999998,2
S,224.12287999999998,2
S,224.49773,1
P,224.55244,2
P,224.65216,2
S,224.74822,2
S,224.93075,1
S,224.93075,2
S,224.98994,1
S,225.15105,2
S,225.18084,2
P,226.27185,2
S,226.38611,2
S,226.88384000000002,1
S,227.16194000000002,2
S,227.43816,1
S,227.48409,1
S,228.11942,2
S,228.64389999999997,2
S,228.73643,2
P,228.82049999999998,2
S,228.92765,1
S,229.23987000000002,1
S,230.23067999999998,2
S,230.80437,1
P,231.09625999999997,2
S,231.55023999999997,1
S,231.82968999999997,1
S,231.98869,2
S,232.63386,2
S,233.90740999999997,2
S,234.01805,1
S,235.71047,1
S,236.63728999999998,2
S,236.82781,1
S,237.72773,2
S,238.36432,1
S,238.68089,1
S,238.95358000000002,1
S,240.30918000000003,1
S,240.57269000000002,2
S,241.80583000000001,1
S,242.08161,2
S,242.48672000000002,2
S,243.33064,2
S,243.44609999999997,2
S,243.66887000000003,1
S,244.00608000000003,1
S,245.04389999999998,2
S,245.0967,1
S,246.74003,1
S,246.74823999999998,1
S,247.89449,2
S,248.69827,2
P,248.71685000000002,1
P,248.71685000000002,1
S,248.88753000000003,2
S,249.01264999999998,1
S,249.58126000000001,1
S,249.84996,1
S,249.86806,2
S,250.84973,1
S,251.38885,2
S,251.5577,1
S,252.43065,1
S,252.87336,2
S,253.92067000000003,1
S,258.08101999999997,2
S,260.31374,1
P,262.80269,1
S,263.93454,1
S,263.93454,1
S,264.68804,1
P,265.08524,1
P,265.94503,1
S,267.457,1
S,267.71477,1
S,269.84247999999997,1
P,270.23995,1
P,270.58951,1
S,271.90333,1
P,271.95239000000004,2
S,272.99123,1
P,273.39567,1
P,274.32944000000003,2
S,275.38531,1
S,275.49122,1
S,276.98332,1
S,277.16594,1
S,280.32357,1
S,281.69021,2
S,281.8245,1
S,282.30513,2
P,283.02919,1
S,283.47107,1
S,284.24101,2
S,287.49196,2
P,287.56314000000003,2
S,287.72783,2
P,289.3863,1
S,289.78715,1
S,289.93861000000004,2
S,290.58974,1
S,291.22515,1
S,291.35386,1
S,292.13792,1
P,292.97894,1
S,296.07494,1
S,299.14665,2
P,299.79622,1
S,300.22641,1
S,303.64425,1
P,304.26318000000003,1
P,306.4711,1
S,307.19336,1
S,309.68104,2
S,310.00252,1
S,313.93870000000004,1
S,315.65625,1
S,316.72244,2
S,319.95087,2
S,320.07097,1
S,320.40364,1
S,323.02837,1
S,323.34167,1
S,325.19787,1
S,325.59088,1
S,326.8417,1
S,328.1967,1
S,329.02196,1
P,330.18595999999997,1
P,331.50419,1
S,334.38961,1
S,334.52555,2
P,340.81308,1
S,341.78033999999997,2
S,342.79268,1
S,348.34231,1
S,348.52641,1
S,350.885,2
S,351.47134,1
S,352.85348,1
S,354.85211,2
S,362.81107000000003,1
S,362.8866,1
S,363.87879,1
S,363.87879,1
S,364.31667000000004,1
S,364.36289999999997,2
S,366.5168,2
S,367.19989999999996,1
S,367.40449,1
S,368.29726999999997,1
S,368.74152,1
S,369.99126,1
S,370.65216999999996,1
S,370.84731,2
S,376.11616,2
S,380.10722999999996,1
S,381.86874,1
S,386.84209,1
S,387.5715,1
S,389.87316,1
S,390.07228,1
S,390.43823000000003,1
S,391.08955000000003,1
S,392.29559,1
S,392.53359,1
S,394.83881,1
S,396.6357,1
S,399.65674,1
S,401.37145,2
S,406.57046,2
S,406.59283,1
S,408.14669,1
S,409.22522,1
S,411.86745,1
S,416.45491000000004,1
S,419.24231,1
S,432.70532999999995,1
S,439.183,1
S,444.255,1
S,444.555,1
S,449.87600000000003,1
S,452.09,1
S,455.242,1
S,487.953,1
S,504.404,1
S,505.948,1
S,522.766,1
S,530.1020000000001,1
S,536.899,1
S,539.079,1
S,547.577,1
S,547.85,1
S,576.357,1
S,584.012,1
S,584.484,1
S,602.604,1
S,631.837,1
S,632.658,1
S,652.345,1
S,671.042,1
S,676.0020000000001,1
S,684.26,1
S,711.3729999999999,1
S,822.4739999999999,1
