Line_type,Wavelength,Ionisation_State
S,293.3298,2
P,293.36019999999996,2
P,295.182,2
P,296.46439999999996,2
S,296.6843,2
P,296.9035,2
P,297.25,2
S,298.0227,2
S,299.40459999999996,2
S,299.6406,2
S,300.0572,2
S,302.9924,2
S,315.9201,2
S,317.4488,2
S,317.5152,2
P,319.8467,2
P,322.0942,2
P,322.4873,2
S,323.2224,1
S,324.4162,1
P,324.5206,2
S,325.207,1
S,326.0539,2
S,326.5177,1
P,327.3111,2
P,327.5125,2
S,327.5236,1
P,327.9326,2
P,328.9977,2
P,329.0345,2
S,329.256,1
S,330.17539999999997,1
P,331.2647,2
S,332.0607,1
S,332.0834,1
P,333.7708,2
S,333.8942,1
P,335.033,2
P,339.14050000000003,2
S,340.10900000000004,2
S,363.221,2
S,363.221,1
S,372.0243,1
S,372.0243,2
P,375.3628,1
P,375.594,1
P,375.8338,1
P,377.4384,1
S,379.222,1
S,379.9368,1
S,380.59229999999997,1
S,381.13960000000003,1
S,383.552,1
P,385.1007,1
S,385.1849,1
P,387.854,1
S,389.5888,1
S,413.3005,1
S,414.0041,1
S,415.1091,1
S,415.14430000000004,1
P,420.6481,1
S,420.82340000000005,1
S,426.18860000000006,1
S,440.48940000000005,1
P,453.6146,2
S,571.2382,1
S,619.2798,1
P,630.4661,1
S,644.9744,1
P,648.6707,1
P,648.8853,1
S,653.5271,1
S,654.4207,1
S,660.8947000000001,1
P,688.771,1
S,725.8049,1
S,757.2923,1
S,830.9602000000001,1
P,863.0189,1
S,953.3071,1
S,1223.1212,1
S,1689.7368999999999,1
