Line_type,Wavelength,Ionisation_State
S,206.892,2
S,207.15,2
S,207.59499999999997,2
S,209.029,2
S,212.525,2
S,214.38299999999998,2
S,221.708,2
S,229.171,2
S,233.339,2
S,238.53400000000002,2
S,247.21999999999997,2
S,249.638,2
S,252.42399999999998,2
S,268.40999999999997,2
S,271.17600000000004,2
S,305.136,2
S,314.89,2
S,316.1,2
S,322.798,1
S,327.099,2
S,332.149,2
S,334.055,2
S,334.87199999999996,1
S,335.082,1
S,339.303,2
S,343.418,2
S,346.15,2
S,352.139,2
S,353.15500000000003,2
S,354.115,2
S,358.70500000000004,1
S,360.06,2
S,360.06399999999996,2
S,366.274,2
S,369.95799999999997,2
S,379.681,2
S,380.19,2
S,382.666,2
S,392.644,2
P,394.05100000000004,2
S,397.815,2
S,402.94899999999996,2
S,408.38800000000003,2
S,410.428,2
S,413.611,2
S,419.308,2
P,420.18,1
P,421.553,1
P,424.43999999999994,2
S,427.314,2
S,428.797,2
S,429.39700000000005,2
S,434.696,2
S,437.712,2
S,446.947,2
S,453.034,2
S,457.177,2
S,462.242,2
S,464.85699999999997,2
S,473.04499999999996,2
S,475.53000000000003,2
P,477.59499999999997,2
S,478.283,2
S,488.559,2
P,515.208,2
S,543.1532,1
S,552.278,2
S,563.5989999999999,2
S,569.915,2
S,572.4121,1
S,607.0755,1
S,619.908,2
S,620.6309,1
S,629.8325,1
P,645.833,2
S,655.562,2
S,656.081,2
S,677.507,2
S,727.9997000000001,1
S,740.8172999999999,1
S,761.8933,1
S,775.7651,1
S,775.9436,1
P,780.027,1
P,794.76,1
S,860.396,2
S,947.932,2
S,968.905,2
S,1323.517,1
S,1366.501,1
P,1475.241,1
P,1528.843,1
S,1528.9479999999999,1
