Line_type,Wavelength,Ionisation_State
P,200.353,1
P,201.78699999999998,1
P,204.908,1
P,207.46999999999997,1
P,208.55900000000003,1
P,209.712,1
S,210.92199999999997,1
P,213.904,2
P,214.27399999999997,2
S,215.667,1
P,216.794,1
S,217.621,1
P,221.42748999999998,2
S,221.458,1
S,222.642,1
S,223.544,1
S,225.573,1
S,225.619,1
S,226.439,1
S,227.462,1
P,227.52532000000002,2
S,228.16199999999998,1
S,228.75100000000003,1
S,229.44899999999998,1
S,229.80900000000003,2
S,229.977,1
S,230.29899999999998,1
S,230.654,1
S,232.24899999999997,1
S,234.478,1
S,235.20700000000002,1
S,236.59,1
S,236.76799999999997,1
S,236.927,1
S,237.07600000000002,2
S,240.506,1
S,240.56,1
S,241.981,1
S,242.858,1
S,243.154,1
S,243.218,1
S,244.698,1
S,244.971,1
S,245.583,2
S,246.11999999999998,1
S,246.18400000000003,2
S,246.757,2
S,248.392,1
S,248.581,1
S,248.733,1
P,250.23499999999999,2
S,250.45999999999998,2
S,250.89899999999997,1
S,252.00100000000003,1
S,252.15,1
S,254.05100000000002,1
S,254.474,1
S,255.46300000000002,2
S,255.651,1
P,256.864,2
S,257.181,2
S,258.679,1
P,260.85,2
S,261.154,1
S,263.58299999999997,2
S,263.664,1
S,265.19,1
S,265.412,1
S,267.434,1
S,271.54699999999997,1
S,273.156,2
P,273.304,2
S,278.357,1
S,281.995,1
S,288.768,1
S,290.248,1
S,290.982,1
S,292.742,1
S,294.31399999999996,1
S,296.511,1
S,296.576,1
S,299.236,1
P,299.96,1
S,301.602,1
S,303.04499999999996,1
S,306.74,1
S,306.994,1
S,308.243,1
S,310.067,1
S,310.881,1
S,312.894,1
S,315.164,1
S,316.837,1
S,318.287,1
S,318.476,1
S,318.557,1
S,320.425,1
S,323.594,1
S,325.885,1
S,325.95500000000004,1
S,330.321,2
S,332.248,1
S,333.818,1
S,334.224,1
S,334.432,1
S,337.906,2
P,339.93,1
S,340.472,1
S,340.589,1
S,341.941,1
P,342.462,1
S,342.619,1
P,345.188,1
P,346.046,1
P,346.473,1
S,346.796,1
S,348.038,1
S,350.306,1
P,358.015,2
S,358.097,1
S,358.302,1
S,363.784,1
S,365.197,1
S,368.95,1
S,369.148,1
S,370.32399999999996,1
P,372.576,1
S,373.531,1
S,374.01,1
S,378.752,1
S,392.985,1
S,413.645,1
S,414.436,1
S,422.108,1
S,422.746,1
S,435.86899999999997,1
S,451.331,1
S,452.27299999999997,1
S,488.91400000000004,1
S,527.095,1
S,527.556,1
S,583.431,1
